,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,director,cast,country,date_added,rating,duration,listed_in,description
445,tm147518,City of God: 10 Years Later,MOVIE,2014,PG,69,['documentation'],['BR'],,tt4103686,6.4,1387.0,9.172,6.869,"Cavi Borges, Luciano Vidigal",,Brazil,"August 5, 2021",TV-MA,69 min,"Documentaries, International Movies","A decade after the seminal Brazilian film ""City of God,"" this documentary reunites some of the cast and crew to find out what paths their lives took."
446,tm141648,Seventh Son,MOVIE,2014,PG-13,102,"['fantasy', 'action']","['US', 'GB', 'CN', 'CA']",,tt1121096,5.5,78504.0,35.433,5.5,Sergei Bodrov,"Jeff Bridges, Ben Barnes, Julianne Moore, Alicia Vikander, Antje Traue, Olivia Williams, John DeSantis, Kit Harington, Djimon Hounsou, Gerard Plunkett, Jason Scott Lee","United States, United Kingdom, Canada, China","August 16, 2020",PG-13,102 min,"Action & Adventure, Sci-Fi & Fantasy","In the 18th century, apprentice exorcist Tom Ward is the lynchpin in a battle between good and evil when imprisoned witch Mother Malkin escapes."
447,tm178234,Blind Intersections,MOVIE,2013,,87,['drama'],"['AE', 'LB']",,tt1918638,6.7,181.0,2.803,4.5,Lara Saba,"Alaa Hammoud, Ghida Nouri, Carole Hajj, Chadi Haddad, Leila Hakim, Charbel Ziade, Nibal Arakji, Caroline Hatem, Josyane Boulos, Mario Bassil","Lebanon, United Arab Emirates","June 10, 2021",TV-MA,91 min,"Dramas, International Movies",This film follows the societal challenges three strangers in Beirut go through as unexpected events link their fates.
448,ts20336,Velvet,SHOW,2014,TV-14,57,"['drama', 'romance', 'crime', 'thriller', 'action', 'european']",['ES'],4.0,tt7543820,8.1,6350.0,37.066,6.0,Carlos Sedes,"Paula Echevarría, Miguel Ángel Silvestre, Aitana Sánchez-Gijón, Manuela Velasco, Manuela Vellés, Marta Hazas, Javier Rey, Maxi Iglesias, Cecilia Freire, Adrián Lastra, Miriam Giovanelli, Natalia Millán, José Sacristán, Ingrid Rubio, Peter Vives, Llorenç González, Ángela Molina, Pastora Vega",Spain,"March 4, 2020",TV-14,4 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1950s Spain, the heir to a fashion house romances a beautiful seamstress who works for the company, despite the objections of his family."
449,ts22383,Rabbids Invasion,SHOW,2013,TV-Y7,11,"['animation', 'comedy', 'family', 'european']","['FR', 'US']",4.0,tt23852566,5.4,2019.0,22.573,5.826,,"Damien Laquet, David Gasman, Barbara Scaff",France,"July 1, 2019",TV-Y7,1 Season,"Kids' TV, TV Comedies","Giant, rambunctious rabbits have invaded and are wreaking havoc on the world. But we'll have to get used to them, because they're not going anywhere!"
450,tm143757,Search Party,MOVIE,2014,R,93,['comedy'],['US'],,tt2758904,5.6,8048.0,8.698,5.4,Scot Armstrong,"T.J. Miller, Adam Pally, Thomas Middleditch, Lance Reddick, Shannon Woodward, Alison Brie, Krysten Ritter, Jason Mantzoukas",United States,"March 16, 2020",R,93 min,Comedies,"Two guys hope to reunite their friend with his runaway bride, unaware that he's been carjacked, stripped and stranded in the Mexican desert."
451,tm151210,Jim Gaffigan: Obsessed,MOVIE,2014,,70,"['comedy', 'documentation']",['US'],,tt3481550,7.6,2309.0,5.427,7.019,Jay Chapman,Jim Gaffigan,United States,"August 11, 2016",TV-14,70 min,Stand-Up Comedy,"Comic Jim Gaffigan delivers his sardonic take on topics like eating, exercise, weddings and his five kids in this live stand-up special."
452,tm148642,Happy New Year,MOVIE,2014,PG-13,180,"['comedy', 'music', 'action', 'crime', 'drama']",['IN'],,tt2461132,4.9,38545.0,7.979,6.117,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Sonu Sood, Boman Irani, Vivaan Shah",India,"February 1, 2017",TV-14,179 min,"Action & Adventure, Comedies, Dramas",A revenge-seeking diamond thief gathers a ragtag crew to infiltrate a Dubai hotel hosting a dance contest. But first they have to learn how to dance.
453,tm187390,The Square,MOVIE,2014,,105,"['drama', 'documentation', 'history']","['US', 'EG', 'GB']",,tt2486682,8.1,8949.0,6.062,7.721,Jehane Noujaim,"Ahmed Hassan, Khalid Abdalla, Magdy Ashour, Ramy Essam, Bothaina Kamel, Dina Abdullah, Aida Elkashef, Ragia Omran, Pierre Seyoufr, Dina Amer, Sherif Boray, Khaled Nagy, Salma Saied, Ahmed Saleh, Alaa Seif","United Kingdom, Egypt, United States","January 17, 2014",TV-MA,105 min,"Documentaries, International Movies","This Emmy-winning, street-level view of the 2011 Egyptian Revolution captures the astonishing uprising that led to the collapse of two governments."
454,ts21368,Black Money Love,SHOW,2014,TV-MA,76,"['action', 'romance', 'crime', 'drama']",['TR'],2.0,tt3565486,7.5,6652.0,35.08,7.708,Ahmet Katıksız,"Güler Ökten, Hazal Türesan, İlkin Tüfekçi, Bedia Ener, Erkan Can, Öykü Karayel, Emre Kızılırmak, Bestemsu Özdemir, Engin Akyürek, Burak Tamdoğan, Saygın Soysal, Tuba Büyüküstün, Ali Yörenç, Ahmet Tansu Taşanlar, Elif İnci",Turkey,"October 15, 2019",TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","After a cop's fiancée and a jewelry designer's father are found dead together, the two bereaved ones face a perilous aftermath of a theft gone wrong."
455,tm360904,The Meaning of Monty Python,MOVIE,2013,,60,['documentation'],['US'],,,,,2.702,7.5,Albert Sharpe,,United Kingdom,"October 2, 2018",TV-MA,60 min,Documentaries,"Five Pythons reflect on their creative process, politics, television and the making of their award-winning final film, ""The Meaning of Life."""
456,ts20883,"Nicky, Ricky, Dicky & Dawn",SHOW,2014,TV-G,23,"['comedy', 'family']",['US'],4.0,tt3596176,5.2,2897.0,30.368,7.254,,"Brian Stepanek, Allison Munn, Aidan Gallagher, Casey Simpson, Mace Coronel, Lizzy Greene",United States,"April 12, 2021",TV-G,4 Seasons,"Kids' TV, TV Comedies","Just because they're quadruplets, that doesn't mean these 10-year-olds always get along. But for all the bickering, they're loyal to the last."
457,tm146657,Jeff Dunham: All Over the Map,MOVIE,2014,PG-13,41,['comedy'],"['ZA', 'AE', 'GB', 'IS', 'IE', 'IL', 'NO']",,tt4210720,7.1,854.0,2.129,5.833,Robb Dipple,Jeff Dunham,United States,"November 16, 2019",TV-MA,84 min,Stand-Up Comedy,"America's most beloved ventriloquist hits the road, bringing along all of his most popular pals, including Achmed, Peanut and Walter."
458,ts57744,Miniforce,SHOW,2014,TV-Y7,14,['animation'],['KR'],9.0,,,,17.804,4.667,,"Sang-hyun Um, Jeong-hwa Yang, Tae-yeol Jeon, Yong-woo Shin, So-yeong Lee, Wan-kyung Sung, Soyeon, Jin-wook Hong, Yeong-wung Jeong",,"June 1, 2017",TV-Y7,1 Season,"Kids' TV, Korean TV Shows",Four animal superheroes called the Miniforce transform into robots to protect small and defenseless creatures from the hands of scheming villains.
