Round,Round Name,Home Team,Away Team,UTC Time,Finished,Started,Cancelled,Awarded,Score,Match Status,,,,
10,10,Lazio,Fiorentina,2023-10-30T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
11,11,Bologna,Lazio,2023-11-03T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
11,11,Salernitana,Napoli,2023-11-04T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time,,,,
11,11,Atalanta,Inter,2023-11-04T17:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,,,
11,11,Milan,Udinese,2023-11-04T19:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time,,,,
11,11,Hellas Verona,Monza,2023-11-05T11:30:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time,,,,
11,11,Cagliari,Genoa,2023-11-05T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
11,11,Roma,Lecce,2023-11-05T17:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
11,11,Fiorentina,Juventus,2023-11-05T19:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time,,,,
11,11,Frosinone,Empoli,2023-11-06T17:30:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
11,11,Torino,Sassuolo,2023-11-06T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
12,12,Sassuolo,Salernitana,2023-11-10T17:30:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,,,
12,12,Genoa,Hellas Verona,2023-11-10T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
12,12,Lecce,Milan,2023-11-11T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,,,
12,12,Juventus,Cagliari,2023-11-11T17:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
12,12,Monza,Torino,2023-11-11T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
12,12,Napoli,Empoli,2023-11-12T11:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time,,,,
12,12,Fiorentina,Bologna,2023-11-12T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
12,12,Udinese,Atalanta,2023-11-12T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
12,12,Lazio,Roma,2023-11-12T17:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time,,,,
12,12,Inter,Frosinone,2023-11-12T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
13,13,Salernitana,Lazio,2023-11-25T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
13,13,Atalanta,Napoli,2023-11-25T17:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,,,
13,13,Milan,Fiorentina,2023-11-25T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
13,13,Cagliari,Monza,2023-11-26T11:30:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
13,13,Empoli,Sassuolo,2023-11-26T14:00:00Z,TRUE,TRUE,FALSE,FALSE,3_4,Full-Time,,,,
13,13,Frosinone,Genoa,2023-11-26T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time,,,,
13,13,Roma,Udinese,2023-11-26T17:00:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time,,,,
