Match Number,Round Number,Date,Location,Home Team,Away Team,Result
339,34,03/05/2021 20:45,Olimpico Grande Torino,Torino,Parma,1 - 0
348,35,08/05/2021 15:00,Alberto Picco,Spezia,Napoli,1 - 4
349,35,08/05/2021 15:00,Stadio Friuli,Udinese,Bologna,1 - 1
345,35,08/05/2021 18:00,Giuseppe Meazza,Inter,Sampdoria,5 - 1
342,35,08/05/2021 20:45,Artemio Franchi,Fiorentina,Lazio,2 - 0
343,35,09/05/2021 12:30,Luigi Ferraris,Genoa,Sassuolo,1 - 2
341,35,09/05/2021 15:00,Ciro Vigorito,Benevento,Cagliari,1 - 3
344,35,09/05/2021 15:00,Marcantonio Bentegodi,Hellas Verona,Torino,1 - 1
346,35,09/05/2021 15:00,Ennio Tardini,Parma,Atalanta,2 - 5
347,35,09/05/2021 18:00,Olimpico,Roma,Crotone,5 - 0
350,35,09/05/2021 20:45,Allianz Stadium,Juventus,Milan,0 - 3
356,36,11/05/2021 20:45,Diego Armando Maradona,Napoli,Udinese,5 - 1
353,36,12/05/2021 18:30,Sardegna Arena,Cagliari,Fiorentina,0 - 0
351,36,12/05/2021 20:45,Gewiss Stadium,Atalanta,Benevento,2 - 0
352,36,12/05/2021 20:45,Renato Dall'Ara,Bologna,Genoa,0 - 2
355,36,12/05/2021 20:45,Olimpico,Lazio,Parma,1 - 0
357,36,12/05/2021 20:45,Luigi Ferraris,Sampdoria,Spezia,2 - 2
358,36,12/05/2021 20:45,Mapei Stadium,Sassuolo,Juventus,1 - 3
359,36,12/05/2021 20:45,Olimpico Grande Torino,Torino,Milan,0 - 7
360,36,12/05/2021 20:45,Giuseppe Meazza,Inter,Roma,3 - 1
354,36,13/05/2021 20:45,Ezio Scida,Crotone,Hellas Verona,2 - 1
363,37,15/05/2021 15:00,Luigi Ferraris,Genoa,Atalanta,3 - 4
368,37,15/05/2021 15:00,Alberto Picco,Spezia,Torino,4 - 1
370,37,15/05/2021 18:00,Allianz Stadium,Juventus,Inter,3 - 2
367,37,15/05/2021 20:45,Olimpico,Roma,Lazio,2 - 0
362,37,16/05/2021 12:30,Artemio Franchi,Fiorentina,Napoli,0 - 2
361,37,16/05/2021 15:00,Ciro Vigorito,Benevento,Crotone,1 - 1
369,37,16/05/2021 15:00,Stadio Friuli,Udinese,Sampdoria,0 - 1
366,37,16/05/2021 18:00,Ennio Tardini,Parma,Sassuolo,1 - 3
365,37,16/05/2021 20:45,Giuseppe Meazza,Milan,Cagliari,0 - 0
364,37,17/05/2021 20:45,Marcantonio Bentegodi,Hellas Verona,Bologna,2 - 2
247,37,18/05/2021 20:30,Olimpico,Lazio,Torino,0 - 0
371,38,23/05/2021 18:00,Gewiss Stadium,Atalanta,Milan,0 - 2
372,38,23/05/2021 18:00,Renato Dall'Ara,Bologna,Juventus,1 - 4
373,38,23/05/2021 18:00,Sardegna Arena,Cagliari,Genoa,0 - 1
374,38,23/05/2021 18:00,Ezio Scida,Crotone,Fiorentina,0 - 0
375,38,23/05/2021 18:00,Giuseppe Meazza,Inter,Udinese,5 - 1
376,38,23/05/2021 18:00,Diego Armando Maradona,Napoli,Hellas Verona,1 - 1
377,38,23/05/2021 18:00,Luigi Ferraris,Sampdoria,Parma,3 - 0
378,38,23/05/2021 18:00,Mapei Stadium,Sassuolo,Lazio,2 - 0
379,38,23/05/2021 18:00,Alberto Picco,Spezia,Roma,2 - 2
380,38,23/05/2021 18:00,Olimpico Grande Torino,Torino,Benevento,1 - 1
