Match Number,Round Number,Date,Location,Home Team,Away Team,Result
185,19,22/01/2023 20:45,Juventus Stadium,Juventus,Atalanta,3 - 3
181,19,23/01/2023 18:30,Renato Dall'Ara,Bologna,Cremonese,1 - 1
184,19,23/01/2023 20:45,San Siro,Inter,Empoli,0 - 1
186,19,24/01/2023 20:45,Olimpico,Lazio,Milan,4 - 0
192,20,27/01/2023 18:30,Renato Dall'Ara,Bologna,Spezia,2 - 0
197,20,27/01/2023 20:45,Via del mare,Lecce,Salernitana,1 - 2
194,20,28/01/2023 15:00,Carlo Castellani,Empoli,Torino,2 - 2
193,20,28/01/2023 18:00,Giovanni Zini,Cremonese,Inter,1 - 2
191,20,28/01/2023 20:45,Atleti Azzurri d'Italia,Atalanta,Sampdoria,2 - 0
198,20,29/01/2023 12:30,San Siro,Milan,Sassuolo,2 - 5
195,20,29/01/2023 15:00,Juventus Stadium,Juventus,Monza,0 - 2
196,20,29/01/2023 18:00,Olimpico,Lazio,Fiorentina,1 - 1
199,20,29/01/2023 20:45,Diego Armando Maradona,Napoli,Roma,2 - 1
200,20,30/01/2023 20:45,Friuli,Udinese,Hellas Verona,1 - 1
201,21,04/02/2023 15:00,Giovanni Zini,Cremonese,Lecce,0 - 2
206,21,04/02/2023 18:00,Olimpico,Roma,Empoli,2 - 0
208,21,04/02/2023 20:45,Città del Tricolore,Sassuolo,Atalanta,1 - 0
209,21,05/02/2023 12:30,Alberto Picco,Spezia,Napoli,0 - 3
210,21,05/02/2023 15:00,Olimpico Grande Torino,Torino,Udinese,1 - 0
202,21,05/02/2023 18:00,Artemio Franchi,Fiorentina,Bologna,1 - 2
204,21,05/02/2023 20:45,San Siro,Inter,Milan,1 - 0
203,21,06/02/2023 18:30,Marcantonio Bentegodi,Hellas Verona,Lazio,1 - 1
205,21,06/02/2023 20:45,Brianteo,Monza,Sampdoria,2 - 2
207,21,07/02/2023 20:45,Arechi,Salernitana,Juventus,0 - 3
217,22,10/02/2023 20:45,San Siro,Milan,Torino,1 - 0
212,22,11/02/2023 15:00,Carlo Castellani,Empoli,Spezia,2 - 2
216,22,11/02/2023 18:00,Via del mare,Lecce,Roma,1 - 1
215,22,11/02/2023 20:45,Olimpico,Lazio,Atalanta,0 - 2
220,22,12/02/2023 12:30,Friuli,Udinese,Sassuolo,2 - 2
211,22,12/02/2023 15:00,Renato Dall'Ara,Bologna,Monza,0 - 1
214,22,12/02/2023 18:00,Juventus Stadium,Juventus,Fiorentina,1 - 0
218,22,12/02/2023 20:45,Diego Armando Maradona,Napoli,Cremonese,3 - 0
213,22,13/02/2023 18:30,Marcantonio Bentegodi,Hellas Verona,Salernitana,1 - 0
219,22,13/02/2023 20:45,Luigi Ferraris,Sampdoria,Inter,0 - 0
228,23,17/02/2023 20:45,Città del Tricolore,Sassuolo,Napoli,0 - 2
227,23,18/02/2023 15:00,Luigi Ferraris,Sampdoria,Bologna,1 - 2
224,23,18/02/2023 18:00,Brianteo,Monza,Milan,0 - 1
223,23,18/02/2023 20:45,San Siro,Inter,Udinese,3 - 1
221,23,19/02/2023 12:30,Atleti Azzurri d'Italia,Atalanta,Lecce,1 - 2
222,23,19/02/2023 15:00,Artemio Franchi,Fiorentina,Empoli,1 - 1
226,23,19/02/2023 15:00,Arechi,Salernitana,Lazio,0 - 2
229,23,19/02/2023 18:00,Alberto Picco,Spezia,Juventus,0 - 2
225,23,19/02/2023 20:45,Olimpico,Roma,Hellas Verona,1 - 0
230,23,20/02/2023 20:45,Olimpico Grande Torino,Torino,Cremonese,2 - 2
233,24,25/02/2023 18:00,Carlo Castellani,Empoli,Napoli,0 - 2
237,24,25/02/2023 20:45,Via del mare,Lecce,Sassuolo,0 - 1
231,24,26/02/2023 12:30,Renato Dall'Ara,Bologna,Inter,1 - 0
239,24,26/02/2023 15:00,Arechi,Salernitana,Monza,3 - 0
240,24,26/02/2023 18:00,Friuli,Udinese,Spezia,2 - 2
238,24,26/02/2023 20:45,San Siro,Milan,Atalanta,2 - 0
234,24,27/02/2023 18:30,Marcantonio Bentegodi,Hellas Verona,Fiorentina,0 - 3
236,24,27/02/2023 20:45,Olimpico,Lazio,Sampdoria,1 - 0
232,24,28/02/2023 18:30,Giovanni Zini,Cremonese,Roma,2 - 1
235,24,28/02/2023 20:45,Juventus Stadium,Juventus,Torino,4 - 2
