Rank,Player,Team,Expected Assists per 90,Actual Assists per 90,Minutes,Matches,Country
186,Andrea Pinamonti,Sassuolo,0.06,0.0,3100,38,ITA
186,Danilo Cataldi,Lazio,0.06,0.0,1360,28,ITA
186,Kristian Thorstvedt,Sassuolo,0.06,0.0,2413,34,NOR
186,Michael Kayode,Fiorentina,0.06,0.0,2063,26,ITA
186,Nikola Krstovic,Lecce,0.06,0.0,2390,35,MNE
192,Morten Thorsby,Genoa,0.05,0.2,1143,24,NOR
192,Noah Okafor,Milan,0.05,0.2,869,28,SUI
194,Adrien Tamèze,Torino,0.05,0.1,2154,29,FRA
194,Chukwubuikem Ikwuemesi,Salernitana,0.05,0.1,1058,25,NGA
194,Domagoj Bradaric,Salernitana,0.05,0.1,2753,34,CRO
194,Duvan Zapata,Torino,0.05,0.1,3005,37,COL
194,Emmanuel Quartsin Gyasi,Empoli,0.05,0.1,1873,33,GHA
194,Gianluca Lapadula,Cagliari,0.05,0.1,1206,23,PER
194,Giorgio Scalvini,Atalanta,0.05,0.1,2553,33,ITA
194,Joan Gonzalez,Lecce,0.05,0.1,1283,29,ESP
194,Josh Doig,Sassuolo,0.05,0.1,2183,28,SCO
194,Kingsley Ehizibue,Udinese,0.05,0.1,955,23,NED
194,Martin Payero,Udinese,0.05,0.1,1801,29,ARG
194,Milan Badelj,Genoa,0.05,0.1,2555,33,CRO
194,Radu Dragusin,Genoa,0.05,0.1,1710,19,ROU
194,Romelu Lukaku,Roma,0.05,0.1,2644,32,BEL
194,Suat Serdar,Verona,0.05,0.1,1661,25,GER
194,Valentin Gendrey,Lecce,0.05,0.1,3050,37,FRA
194,Victor Kristiansen,Bologna,0.05,0.1,2312,32,DEN
211,Francesco Acerbi,Internazionale,0.05,0.0,2386,29,ITA
211,Francesco Caputo,Empoli,0.05,0.0,1274,20,ITA
211,Joao Ferreira,Udinese,0.05,0.0,1812,35,POR
211,Matteo Darmian,Internazionale,0.05,0.0,2413,33,ITA
211,Matteo Prati,Cagliari,0.05,0.0,1972,26,ITA
211,Mohamed Kaba,Lecce,0.05,0.0,1382,23,FRA
211,Remo Freuler,Bologna,0.05,0.0,2632,32,SUI
218,Marten de Roon,Atalanta,0.04,0.2,2599,30,NED
218,Riccardo Calafiori,Bologna,0.04,0.2,2338,30,ITA
220,Alberto Dossena,Cagliari,0.04,0.1,2979,35,ITA
220,Alessandro Vogliacco,Genoa,0.04,0.1,1171,20,ITA
220,Alexis Blin,Lecce,0.04,0.1,1632,31,FRA
220,Federico Bonazzoli,Verona,0.04,0.1,1014,24,ITA
220,Giulio Maggiore,Salernitana,0.04,0.1,1807,27,ITA
220,Leonardo Pavoletti,Cagliari,0.04,0.1,620,19,ITA
220,Marcus Holmgren Pedersen,Sassuolo,0.04,0.1,1605,28,NOR
220,Matteo Pessina,Monza,0.04,0.1,3228,37,ITA
220,Morten Frendrup,Genoa,0.04,0.1,3146,37,DEN
220,Nicolo Rovella,Lazio,0.04,0.1,1322,23,ITA
220,Ruslan Malinovsky,Genoa,0.04,0.1,1547,28,UKR
220,Simon Kjær,Milan,0.04,0.1,1171,20,DEN
220,Victor Osimhen,Napoli,0.04,0.1,1990,25,NGA
220,Yunus Musah,Milan,0.04,0.1,1468,30,USA
234,Antonio Sanabria,Torino,0.04,0.0,2133,35,PAR
234,Enzo Barrenechea,Frosinone,0.04,0.0,2816,36,ARG
234,Federico Gatti,Juventus,0.04,0.0,2640,32,ITA
234,Gianluca Mancini,Roma,0.04,0.0,2872,36,ITA
234,Johan Vásquez,Genoa,0.04,0.0,2851,37,MEX
234,Juan Cabal,Verona,0.04,0.0,1497,22,COL
234,Lassana Coulibaly,Salernitana,0.04,0.0,2086,28,MLI
234,Luca Mazzitelli,Frosinone,0.04,0.0,2221,29,ITA
234,Luca Pellegrini,Lazio,0.04,0.0,781,19,ITA
234,Lucas Martinez Quarta,Fiorentina,0.04,0.0,2292,29,ARG
234,Mario Gila,Lazio,0.04,0.0,1813,21,ESP
234,Michael Folorunsho,Verona,0.04,0.0,2793,34,ITA
234,Michel Aebischer,Bologna,0.04,0.0,2234,36,SUI
234,Patrick Dorgu,Lecce,0.04,0.0,1563,32,DEN
234,Paulo Azzi,Cagliari,0.04,0.0,936,25,BRA
234,Roberto Piccoli,Lecce,0.04,0.0,1397,37,ITA
234,Stanislav Lobotka,Napoli,0.04,0.0,3293,38,SVK
251,Lorenzo Colombo,Monza,0.03,0.1,1366,25,ITA
251,Mateusz Wieteska,Cagliari,0.03,0.1,958,19,POL
251,Milan Djuric,Monza,0.03,0.1,2464,37,BIH
251,Uros Racic,Sassuolo,0.03,0.1,813,22,SRB
255,Adam Marusic,Lazio,0.03,0.0,3106,37,MNE
255,Adam Masina,Torino,0.03,0.0,1083,20,MAR
255,Alessandro Deiola,Cagliari,0.03,0.0,1608,27,ITA
255,Amir Rrahmani,Napoli,0.03,0.0,2602,30,KVX
255,Antoine Makoumbou,Cagliari,0.03,0.0,2707,32,CGO
255,Danilo,Juventus,0.03,0.0,2451,29,BRA
255,Danilo D'Ambrosio,Monza,0.03,0.0,1534,24,ITA
255,Gian Marco Ferrari,Sassuolo,0.03,0.0,2268,31,ITA
255,Jean-Daniel Akpa-Akpro,Monza,0.03,0.0,700,19,CIV
255,Jordan Zemura,Udinese,0.03,0.0,1033,27,ZIM
255,Juan Jesus,Napoli,0.03,0.0,2117,24,BRA
255,Kaio Jorge,Frosinone,0.03,0.0,805,20,BRA
255,Karol Linetty,Torino,0.03,0.0,1860,28,POL
255,Luca Ranieri,Fiorentina,0.03,0.0,2067,26,ITA
255,Marvin Cuni,Frosinone,0.03,0.0,522,22,ALB
255,Mateusz Legowski,Salernitana,0.03,0.0,1132,29,POL
255,Nikola Milenkovic,Fiorentina,0.03,0.0,2506,34,SRB
255,Walid Cheddira,Frosinone,0.03,0.0,2130,36,MAR
273,Bartosz Bereszynski,Empoli,0.02,0.1,1766,24,POL
273,Evan N'Dicka,Roma,0.02,0.1,2170,25,CIV
273,Ilario Monterisi,Frosinone,0.02,0.1,1467,24,ITA
273,Lorenzo Lucca,Udinese,0.02,0.1,2600,37,ITA
273,Mateo Retegui,Genoa,0.02,0.1,2225,29,ITA
273,Pietro Pellegri,Torino,0.02,0.1,745,24,ITA
273,Warren Bondo,Monza,0.02,0.1,1471,25,FRA
280,Alessandro Buongiorno,Torino,0.02,0.0,2530,29,ITA
280,Alessio Romagnoli,Lazio,0.02,0.0,2409,29,ITA
280,Andrea Carboni,Monza,0.02,0.0,1490,21,ITA
280,Berat Djimsiti,Atalanta,0.02,0.0,2831,37,ALB
280,Daniel Boloca,Sassuolo,0.02,0.0,2023,30,ROU
280,Giangiacomo Magnani,Verona,0.02,0.0,2441,33,ITA
280,Gleison Bremer,Juventus,0.02,0.0,3234,36,BRA
280,Jaka Bijol,Udinese,0.02,0.0,2083,24,SVN
280,Jhon Lucumi,Bologna,0.02,0.0,2214,29,COL
280,Leo Østigard,Napoli,0.02,0.0,1621,25,NOR
280,Marin Pongracic,Lecce,0.02,0.0,3220,36,CRO
280,Matteo Lovato,Torino,0.02,0.0,1490,26,ITA
280,Moise Kean,Juventus,0.02,0.0,650,19,ITA
280,Pablo Mari,Monza,0.02,0.0,2616,34,ESP
280,Patric,Lazio,0.02,0.0,1610,20,ESP
280,Ruan Tressoldi,Sassuolo,0.02,0.0,1515,26,BRA
280,Sam Beukema,Bologna,0.02,0.0,2549,30,NED
280,Sead Kolasinac,Atalanta,0.02,0.0,2182,30,BIH
280,Sebastiano Luperto,Empoli,0.02,0.0,3407,38,ITA
280,Stefan de Vrij,Internazionale,0.02,0.0,1578,25,NED
280,Walace,Udinese,0.02,0.0,3243,37,BRA
280,Ylber Ramadani,Lecce,0.02,0.0,2976,34,ALB
302,Isak Hien,Atalanta,0.01,0.1,1794,26,SWE
302,Malick Thiaw,Milan,0.01,0.1,1620,21,GER
304,Ardian Ismajli,Empoli,0.01,0.0,2046,26,ALB
304,Diego Coppola,Verona,0.01,0.0,1636,24,ITA
304,Diego Llorente,Roma,0.01,0.0,2173,29,ESP
304,Federico Baschirotto,Lecce,0.01,0.0,3295,37,ITA
304,Fikayo Tomori,Milan,0.01,0.0,2125,26,ENG
304,Ibrahim Sulemana,Cagliari,0.01,0.0,1342,21,GHA
304,Koni De Winter,Genoa,0.01,0.0,2378,29,BEL
304,Lorenzo Pirola,Salernitana,0.01,0.0,1991,27,ITA
304,Luca Caldirola,Monza,0.01,0.0,2139,29,ITA
304,Martin Erlic,Sassuolo,0.01,0.0,2624,32,CRO
304,Memeh Caleb Okoli,Frosinone,0.01,0.0,2915,34,ITA
304,Nehuén Pérez,Udinese,0.01,0.0,3238,36,ARG
304,Nicolo Casale,Lazio,0.01,0.0,1557,20,ITA
304,Norbert Gyömbér,Salernitana,0.01,0.0,1762,22,SVK
304,Pawel Dawidowicz,Verona,0.01,0.0,2143,28,POL
304,Sebastian Walukiewicz,Empoli,0.01,0.0,2054,27,POL
304,Simone Romagnoli,Frosinone,0.01,0.0,2716,33,ITA
304,Thomas Kristensen,Udinese,0.01,0.0,2097,26,DEN
322,Alex Meret,Napoli,0.0,0.0,2774,31,ITA
322,Andrea Consigli,Sassuolo,0.0,0.0,3150,35,ITA
322,Elia Caprile,Empoli,0.0,0.0,2070,23,ITA
322,Guillermo Ochoa,Salernitana,0.0,0.0,1890,21,MEX
322,Ivan Provedel,Lazio,0.0,0.0,2699,30,ITA
322,Josep Martinez,Genoa,0.0,0.0,3239,36,ESP
322,Lorenzo Montipo,Verona,0.0,0.0,3330,37,ITA
322,Lukasz Skorupski,Bologna,0.0,0.0,2880,32,POL
322,Maduka Okoye,Udinese,0.0,0.0,1890,21,NGA
322,Marco Carnesecchi,Atalanta,0.0,0.0,2426,27,ITA
322,Mattia Bani,Genoa,0.0,0.0,2309,27,ITA
322,Michele Di Gregorio,Monza,0.0,0.0,2874,33,ITA
322,Mike Maignan,Milan,0.0,0.0,2609,29,FRA
322,Pietro Terracciano,Fiorentina,0.0,0.0,2970,33,ITA
322,Rui Patricio,Roma,0.0,0.0,2070,23,POR
322,Simone Scuffet,Cagliari,0.0,0.0,2789,31,ITA
322,Stefano Turati,Frosinone,0.0,0.0,2745,31,ITA
322,Vanja Milinkovic-Savic,Torino,0.0,0.0,3240,36,SRB
322,Wladimiro Falcone,Lecce,0.0,0.0,3420,38,ITA
322,Wojciech Szczesny,Juventus,0.0,0.0,3150,35,POL
322,Yann Sommer,Internazionale,0.0,0.0,3060,34,SUI
