Rank,Player,Team,Fouls Committed per 90,Yellow Cards,Minutes,Matches,Country
184,Victor Kristiansen,Bologna,1.1,4.0,2312,32,DEN
189,Danilo D'Ambrosio,Monza,1.1,3.0,1534,24,ITA
189,Kacper Urbanski,Bologna,1.1,3.0,921,22,POL
189,Kenan Yildiz,Juventus,1.1,3.0,945,27,TUR
189,Lazar Samardzic,Udinese,1.1,3.0,2380,34,SRB
193,Antonio Sanabria,Torino,1.1,2.0,2133,35,PAR
193,Elseid Hysaj,Lazio,1.1,2.0,1194,22,ALB
193,Mateusz Wieteska,Cagliari,1.1,2.0,958,19,POL
193,Thomas Kristensen,Udinese,1.1,2.0,2097,26,DEN
197,Eldor Shomurodov,Cagliari,1.1,1.0,933,22,UZB
197,Sandi Lovric,Udinese,1.1,1.0,1988,29,SVN
199,Gregoire Defrel,Sassuolo,1.1,0.0,751,20,MTQ
199,Walid Cheddira,Frosinone,1.1,0.0,2130,36,MAR
201,Enzo Barrenechea,Frosinone,1.0,10.0,2816,36,ARG
202,Danilo,Juventus,1.0,7.0,2451,29,BRA
203,Giangiacomo Magnani,Verona,1.0,6.0,2441,33,ITA
203,Sebastian Walukiewicz,Empoli,1.0,6.0,2054,27,POL
205,Armand Laurienté,Sassuolo,1.0,5.0,2926,37,FRA
205,Diego Llorente,Roma,1.0,5.0,2173,29,ESP
205,Luca Caldirola,Monza,1.0,5.0,2139,29,ITA
205,Martin Erlic,Sassuolo,1.0,5.0,2624,32,CRO
205,Rafael Leao,Milan,1.0,5.0,2523,34,POR
205,Roberto Gagliardini,Monza,1.0,5.0,2366,33,ITA
211,Alessandro Vogliacco,Genoa,1.0,4.0,1171,20,ITA
211,Gian Marco Ferrari,Sassuolo,1.0,4.0,2268,31,ITA
211,Sam Beukema,Bologna,1.0,4.0,2549,30,NED
214,Dany Mota,Monza,1.0,3.0,2059,34,POR
214,Davide Calabria,Milan,1.0,3.0,2191,29,ITA
214,Felipe Anderson,Lazio,1.0,3.0,2782,38,BRA
214,Ivan Ilic,Torino,1.0,3.0,2099,31,SRB
214,Matteo Guendouzi,Lazio,1.0,3.0,2370,33,FRA
219,Mario Gila,Lazio,1.0,2.0,1813,21,ESP
219,Matteo Darmian,Internazionale,1.0,2.0,2413,33,ITA
221,Maxime Lopez,Fiorentina,1.0,1.0,936,21,FRA
221,Nicolás González,Fiorentina,1.0,1.0,1913,29,ARG
223,Giacomo Raspadori,Napoli,1.0,0.0,1572,37,ITA
224,Joshua Zirkzee,Bologna,0.9,8.0,2771,34,NED
225,Josh Doig,Sassuolo,0.9,7.0,2183,28,SCO
225,Nehuén Pérez,Udinese,0.9,7.0,3238,36,ARG
225,Nicolo Barella,Internazionale,0.9,7.0,2860,37,ITA
228,Jonathan Ikoné,Fiorentina,0.9,5.0,1685,28,FRA
229,Fabiano Parisi,Fiorentina,0.9,4.0,1452,21,ITA
229,Manuel Lazzari,Lazio,0.9,4.0,1675,24,ITA
229,Matteo Prati,Cagliari,0.9,4.0,1972,26,ITA
229,Stanislav Lobotka,Napoli,0.9,4.0,3293,38,SVK
233,Antoine Makoumbou,Cagliari,0.9,3.0,2707,32,CGO
233,Federico Bonazzoli,Verona,0.9,3.0,1014,24,ITA
233,Francesco Gelli,Frosinone,0.9,3.0,1558,27,ITA
233,Mario Pasalic,Atalanta,0.9,3.0,2048,34,CRO
233,Nikola Vlasic,Torino,0.9,3.0,2614,33,CRO
238,Antonin Barak,Fiorentina,0.9,2.0,802,21,CZE
238,Filip Kostic,Juventus,0.9,2.0,1831,29,SRB
238,Jackson Tchatchoua,Verona,0.9,2.0,1725,26,CMR
238,Kaio Jorge,Frosinone,0.9,2.0,805,20,BRA
238,Riccardo Orsolini,Bologna,0.9,2.0,1792,33,ITA
243,Aleksey Miranchuk,Atalanta,0.9,1.0,1170,27,RUS
243,Carlos Augusto,Internazionale,0.9,1.0,1703,37,BRA
245,Mattia Bani,Genoa,0.8,9.0,2309,27,ITA
245,Memeh Caleb Okoli,Frosinone,0.8,9.0,2915,34,ITA
247,Khvicha Kvaratskhelia,Napoli,0.8,8.0,2750,34,GEO
248,Adrien Tamèze,Torino,0.8,6.0,2154,29,FRA
248,Giacomo Bonaventura,Fiorentina,0.8,6.0,2285,31,ITA
248,Giovanni Di Lorenzo,Napoli,0.8,6.0,3235,36,ITA
248,Matheus Henrique,Sassuolo,0.8,6.0,2501,31,BRA
248,Milan Badelj,Genoa,0.8,6.0,2555,33,CRO
248,Simone Romagnoli,Frosinone,0.8,6.0,2716,33,ITA
248,Weston McKennie,Juventus,0.8,6.0,2599,34,USA
255,Alexis Saelemaekers,Bologna,0.8,5.0,1892,30,BEL
255,Romelu Lukaku,Roma,0.8,5.0,2644,32,BEL
255,Valentin Gendrey,Lecce,0.8,5.0,3050,37,FRA
258,Albert Gudmundsson,Genoa,0.8,4.0,3022,35,ISL
258,Hassane Kamara,Udinese,0.8,4.0,2238,35,CIV
258,Ricardo Rodriguez,Torino,0.8,4.0,2783,35,SUI
261,Federico Baschirotto,Lecce,0.8,3.0,3295,37,ITA
261,Giorgos Kyriakopoulos,Monza,0.8,3.0,1716,28,GRE
261,Matteo Pessina,Monza,0.8,3.0,3228,37,ITA
261,Matteo Ruggeri,Atalanta,0.8,3.0,2466,34,ITA
261,Mergim Vojvoda,Torino,0.8,3.0,1372,28,KVX
261,Rémi Oudin,Lecce,0.8,3.0,1826,31,FRA
261,Tommaso Baldanzi,Roma,0.8,3.0,1259,27,ITA
268,Ardian Ismajli,Empoli,0.8,2.0,2046,26,ALB
