Rank,Player,Team,Assists,Secondary Assists,Minutes,Matches,Country
153,Kristjan Asllani,Internazionale,2.0,0.8,771,23,ALB
156,Alexis Blin,Lecce,2.0,0.7,1632,31,FRA
156,Jens-Lys Cajuste,Napoli,2.0,0.7,1007,26,SWE
156,Marcus Holmgren Pedersen,Sassuolo,2.0,0.7,1605,28,NOR
156,Milan Djuric,Monza,2.0,0.7,2464,37,BIH
156,Reinier,Frosinone,2.0,0.7,1064,22,BRA
156,Yunus Musah,Milan,2.0,0.7,1468,30,USA
162,Junior Sambia,Salernitana,2.0,0.6,1031,18,FRA
162,Mateo Retegui,Genoa,2.0,0.6,2225,29,ITA
162,Morten Thorsby,Genoa,2.0,0.6,1143,24,NOR
162,Nicolo Rovella,Lazio,2.0,0.6,1322,23,ITA
162,Santiago Pierotti,Lecce,2.0,0.6,190,11,ARG
167,Noah Okafor,Milan,2.0,0.5,869,28,SUI
168,Jakub Jankto,Cagliari,2.0,0.4,878,18,CZE
169,Ilario Monterisi,Frosinone,2.0,0.3,1467,24,ITA
170,Oussama El Azzouzi,Bologna,2.0,0.2,536,18,MAR
171,Gaetano Castrovilli,Fiorentina,2.0,0.1,370,6,ITA
172,Mattia Zaccagni,Lazio,1.0,3.3,1971,28,ITA
173,Nicolo Cambiaghi,Empoli,1.0,2.7,2562,37,ITA
174,Tommaso Augello,Cagliari,1.0,2.4,2429,32,ITA
175,Éderson,Atalanta,1.0,2.3,2873,36,BRA
176,Andrea Pinamonti,Sassuolo,1.0,2.2,3100,38,ITA
177,Patrick Ciurria,Monza,1.0,2.1,1602,22,ITA
178,Gustav Isaksen,Lazio,1.0,2.0,1069,28,DEN
178,Jonathan Ikoné,Fiorentina,1.0,2.0,1685,28,FRA
178,Ruben Loftus-Cheek,Milan,1.0,2.0,2081,29,ENG
178,Youssef Maleh,Empoli,1.0,2.0,2610,34,MAR
182,Stefano Sabelli,Genoa,1.0,1.9,2448,32,ITA
183,Hassane Kamara,Udinese,1.0,1.8,2238,35,CIV
183,Pontus Almqvist,Lecce,1.0,1.8,2115,30,SWE
185,Aaron Caricol,Genoa,1.0,1.7,1380,22,ESP
185,Davide Zappacosta,Atalanta,1.0,1.7,1875,31,ITA
185,Jacopo Fazzini,Empoli,1.0,1.7,1226,31,ITA
185,Nikola Krstovic,Lecce,1.0,1.7,2390,35,MNE
189,Emanuele Valeri,Frosinone,1.0,1.6,1178,16,ITA
189,Kristian Thorstvedt,Sassuolo,1.0,1.6,2413,34,NOR
189,Stanislav Lobotka,Napoli,1.0,1.6,3293,38,SVK
192,Alessio Zerbin,Monza,1.0,1.5,829,20,ITA
192,Angelino,Roma,1.0,1.5,1148,16,ESP
192,Nicola Zalewski,Roma,1.0,1.5,966,22,POL
192,Pedro Rodriguez,Lazio,1.0,1.5,798,33,ESP
196,Liberato Cacace,Empoli,1.0,1.4,1907,31,NZL
196,Luis Muriel,Atalanta,1.0,1.4,395,18,COL
196,Michael Kayode,Fiorentina,1.0,1.4,2063,26,ITA
199,Alberto Grassi,Empoli,1.0,1.3,1823,27,ITA
199,Ciro Immobile,Lazio,1.0,1.3,1656,31,ITA
199,Fabiano Parisi,Fiorentina,1.0,1.3,1452,21,ITA
199,Filippo Terracciano,Verona,1.0,1.3,1368,21,ITA
199,Francesco Acerbi,Internazionale,1.0,1.3,2386,29,ITA
199,Mathias Olivera,Napoli,1.0,1.3,1572,23,URU
199,Matteo Darmian,Internazionale,1.0,1.3,2413,33,ITA
199,Rasmus Kristensen,Roma,1.0,1.3,1743,29,DEN
199,Remo Freuler,Bologna,1.0,1.3,2632,32,SUI
208,Christian Kouamé,Fiorentina,1.0,1.2,1084,23,CIV
208,Dan Ndoye,Bologna,1.0,1.2,1775,32,SUI
208,Fabio Miretti,Juventus,1.0,1.2,1104,25,ITA
208,Hans Hateboer,Atalanta,1.0,1.2,1104,23,NED
208,Matias Vecino,Lazio,1.0,1.2,1135,31,URU
208,Matteo Prati,Cagliari,1.0,1.2,1972,26,ITA
214,Andrea Petagna,Cagliari,1.0,1.1,996,18,ITA
214,Enzo Barrenechea,Frosinone,1.0,1.1,2816,36,ARG
214,Gianluca Mancini,Roma,1.0,1.1,2872,36,ITA
214,Johan Vásquez,Genoa,1.0,1.1,2851,37,MEX
214,Lucas Martinez Quarta,Fiorentina,1.0,1.1,2292,29,ARG
214,Michael Folorunsho,Verona,1.0,1.1,2793,34,ITA
214,Timothy Weah,Juventus,1.0,1.1,1247,30,USA
221,Danilo,Juventus,1.0,1.0,2451,29,BRA
221,Emil Holm,Atalanta,1.0,1.0,948,22,SWE
221,Gaetano Oristanio,Cagliari,1.0,1.0,1102,25,ITA
221,Gianluca Gaetano,Cagliari,1.0,1.0,905,20,ITA
221,Michel Aebischer,Bologna,1.0,1.0,2234,36,SUI
221,Pol Lirola,Frosinone,1.0,1.0,1538,25,ESP
227,Charalambos Lykogiannis,Bologna,1.0,0.9,899,22,GRE
227,Joao Ferreira,Udinese,1.0,0.9,1812,35,POR
227,Lassana Coulibaly,Salernitana,1.0,0.9,2086,28,MLI
227,Radu Dragusin,Genoa,1.0,0.9,1710,19,ROU
227,Sebastiano Luperto,Empoli,1.0,0.9,3407,38,ITA
232,Daniel Maldini,Monza,1.0,0.8,588,18,ITA
232,Fabien Centonze,Verona,1.0,0.8,674,10,FRA
232,Hans Nicolussi Caviglia,Juventus,1.0,0.8,266,8,ITA
232,Joan Gonzalez,Lecce,1.0,0.8,1283,29,ESP
232,Kacper Urbanski,Bologna,1.0,0.8,921,22,POL
237,Anthony Oyono,Frosinone,1.0,0.7,1197,16,GAB
237,Arijon Ibrahimovic,Frosinone,1.0,0.7,470,16,GER
237,Arkadiusz Milik,Juventus,1.0,0.7,902,32,POL
237,Caleb Ekuban,Genoa,1.0,0.7,1123,29,GHA
237,Gianluca Lapadula,Cagliari,1.0,0.7,1206,23,PER
237,Luca Ranieri,Fiorentina,1.0,0.7,2067,26,ITA
237,Luka Jovic,Milan,1.0,0.7,867,23,SRB
237,Ruslan Malinovsky,Genoa,1.0,0.7,1547,28,UKR
237,Sam Beukema,Bologna,1.0,0.7,2549,30,NED
237,Walid Cheddira,Frosinone,1.0,0.7,2130,36,MAR
247,Chukwubuikem Ikwuemesi,Salernitana,1.0,0.6,1058,25,NGA
247,Isaac Success,Udinese,1.0,0.6,872,27,NGA
247,Simon Kjær,Milan,1.0,0.6,1171,20,DEN
247,Tyronne Ebuehi,Empoli,1.0,0.6,1096,15,NGA
247,Viktor Kovalenko,Empoli,1.0,0.6,606,17,UKR
252,Alessandro Vogliacco,Genoa,1.0,0.5,1171,20,ITA
252,Berat Djimsiti,Atalanta,1.0,0.5,2831,37,ALB
252,Federico Bonazzoli,Verona,1.0,0.5,1014,24,ITA
252,Kingsley Ehizibue,Udinese,1.0,0.5,955,23,NED
252,Lorenzo Colombo,Monza,1.0,0.5,1366,25,ITA
257,Bartosz Bereszynski,Empoli,1.0,0.4,1766,24,POL
257,Carlos Alcaraz,Juventus,1.0,0.4,377,10,ARG
257,Ridgeciano Haps,Genoa,1.0,0.4,770,16,SUR
260,Federico Baschirotto,Lecce,1.0,0.3,3295,37,ITA
260,Koni De Winter,Genoa,1.0,0.3,2378,29,BEL
260,Leonardo Pavoletti,Cagliari,1.0,0.3,620,19,ITA
260,Mateusz Wieteska,Cagliari,1.0,0.3,958,19,POL
260,Memeh Caleb Okoli,Frosinone,1.0,0.3,2915,34,ITA
260,Uros Racic,Sassuolo,1.0,0.3,813,22,SRB
266,Diego Llorente,Roma,1.0,0.2,2173,29,ESP
266,Lorenzo Montipo,Verona,1.0,0.2,3330,37,ITA
266,Luca Caldirola,Monza,1.0,0.2,2139,29,ITA
266,Malick Thiaw,Milan,1.0,0.2,1620,21,GER
266,Matteo Gabbia,Milan,1.0,0.2,1276,18,ITA
266,M'Baye Niang,Empoli,1.0,0.2,706,14,SEN
266,Michel Ndary Adopo,Atalanta,1.0,0.2,101,10,FRA
266,Simone Romagnoli,Frosinone,1.0,0.2,2716,33,ITA
266,Stiven Shpendi,Empoli,1.0,0.2,407,12,ALB
266,Thomas Kristensen,Udinese,1.0,0.2,2097,26,DEN
266,Warren Bondo,Monza,1.0,0.2,1471,25,FRA
277,Emanuel Vignato,Salernitana,1.0,0.1,308,9,ITA
277,Isak Hien,Atalanta,1.0,0.1,1794,26,SWE
277,Jordi Mboula,Verona,1.0,0.1,304,11,ESP
277,Mike Maignan,Milan,1.0,0.1,2609,29,FRA
277,Pietro Pellegri,Torino,1.0,0.1,745,24,ITA
277,Stefano Sensi,Internazionale,1.0,0.1,43,4,ITA
283,Christian Kabasele,Udinese,1.0,0.0,861,13,BEL
283,Rares Burnete,Lecce,1.0,0.0,7,1,ROU
283,Santiago Castro,Bologna,1.0,0.0,238,8,ARG
