Rank,Player,Team,Successful Dribbles per 90,Dribble Success Rate (%),Minutes,Matches,Country
149,Carlos Augusto,Internazionale,0.6,66.7,1703,37,BRA
150,Marcus Holmgren Pedersen,Sassuolo,0.6,61.1,1605,28,NOR
151,Michel Aebischer,Bologna,0.6,60.9,2234,36,SUI
152,Milan Badelj,Genoa,0.6,56.7,2555,33,CRO
153,Tommaso Augello,Cagliari,0.6,55.6,2429,32,ITA
154,Ibrahim Sulemana,Cagliari,0.6,52.9,1342,21,GHA
155,Henrikh Mkhitaryan,Internazionale,0.6,52.8,2803,36,ARM
156,Manuel Lazzari,Lazio,0.6,52.4,1675,24,ITA
157,Giovanni Simeone,Napoli,0.6,50.0,787,28,ARG
158,Lassana Coulibaly,Salernitana,0.6,45.5,2086,28,MLI
159,Antonio Sanabria,Torino,0.6,45.2,2133,35,PAR
160,Kristian Thorstvedt,Sassuolo,0.6,44.1,2413,34,NOR
161,Mateo Retegui,Genoa,0.6,43.8,2225,29,ITA
162,Ruslan Malinovsky,Genoa,0.6,43.5,1547,28,UKR
163,Pietro Pellegri,Torino,0.6,41.7,745,24,ITA
164,Lucas Beltran,Fiorentina,0.6,40.0,1694,32,ARG
165,Teun Koopmeiners,Atalanta,0.6,39.6,2633,34,NED
166,Weston McKennie,Juventus,0.6,38.3,2599,34,USA
167,Sardar Azmoun,Roma,0.6,36.4,571,23,IRN
168,Josh Doig,Sassuolo,0.6,34.1,2183,28,SCO
169,Lautaro Martinez,Internazionale,0.6,32.8,2668,33,ARG
170,Valentin Castellanos,Lazio,0.6,30.6,1676,35,ARG
171,Kaio Jorge,Frosinone,0.6,27.8,805,20,BRA
172,Alessandro Zanoli,Salernitana,0.6,24.0,969,21,ITA
173,Giorgio Scalvini,Atalanta,0.5,78.9,2553,33,ITA
174,Arthur,Fiorentina,0.5,73.3,1993,33,BRA
175,Adrien Tamèze,Torino,0.5,70.6,2154,29,FRA
176,Bryan Cristante,Roma,0.5,68.0,3292,37,ITA
177,Morten Frendrup,Genoa,0.5,66.7,3146,37,DEN
178,Riccardo Calafiori,Bologna,0.5,65.0,2338,30,ITA
179,Mergim Vojvoda,Torino,0.5,63.6,1372,28,KVX
180,Hans Hateboer,Atalanta,0.5,60.0,1104,23,NED
181,Valentin Gendrey,Lecce,0.5,59.3,3050,37,FRA
182,Edoardo Bove,Roma,0.5,56.3,1777,31,ITA
183,Pedro Pereira,Monza,0.5,55.6,833,23,POR
184,Federico Bonazzoli,Verona,0.5,54.5,1014,24,ITA
185,Arkadiusz Milik,Juventus,0.5,50.0,902,32,POL
185,Lucas Martinez Quarta,Fiorentina,0.5,50.0,2292,29,ARG
185,Mario Pasalic,Atalanta,0.5,50.0,2048,34,CRO
185,Nikola Moro,Bologna,0.5,50.0,835,23,CRO
189,Lewis Ferguson,Bologna,0.5,48.3,2718,31,SCO
190,Patrick Ciurria,Monza,0.5,45.0,1602,22,ITA
191,Samuele Birindelli,Monza,0.5,44.4,2013,35,ITA
192,Antonio Candreva,Salernitana,0.5,41.7,2757,34,ITA
193,Walid Cheddira,Frosinone,0.5,34.3,2130,36,MAR
194,Giovanni Di Lorenzo,Napoli,0.5,34.0,3235,36,ITA
195,Gregoire Defrel,Sassuolo,0.5,33.3,751,20,MTQ
195,Mateusz Legowski,Salernitana,0.5,33.3,1132,29,POL
197,Marvin Cuni,Frosinone,0.5,27.3,522,22,ALB
198,Thomas Kristensen,Udinese,0.4,100.0,2097,26,DEN
199,Malick Thiaw,Milan,0.4,80.0,1620,21,GER
199,Sebastian Walukiewicz,Empoli,0.4,80.0,2054,27,POL
201,Marin Pongracic,Lecce,0.4,78.9,3220,36,CRO
202,Danilo Cataldi,Lazio,0.4,75.0,1360,28,ITA
203,Manuel Locatelli,Juventus,0.4,72.2,3011,36,ITA
204,Kevin Strootman,Genoa,0.4,71.4,1209,27,NED
205,Mario Gila,Lazio,0.4,69.2,1813,21,ESP
206,Luca Mazzitelli,Frosinone,0.4,64.7,2221,29,ITA
207,Kristjan Asllani,Internazionale,0.4,60.0,771,23,ALB
208,Danilo D'Ambrosio,Monza,0.4,58.3,1534,24,ITA
209,Victor Kristiansen,Bologna,0.4,57.9,2312,32,DEN
210,Stanislav Lobotka,Napoli,0.4,57.7,3293,38,SVK
211,Alessandro Bastoni,Internazionale,0.4,55.6,2283,28,ITA
211,Francesco Caputo,Empoli,0.4,55.6,1274,20,ITA
213,Karol Linetty,Torino,0.4,53.3,1860,28,POL
214,Aaron Caricol,Genoa,0.4,50.0,1380,22,ESP
214,Adam Marusic,Lazio,0.4,50.0,3106,37,MNE
214,Jean-Daniel Akpa-Akpro,Monza,0.4,50.0,700,19,CIV
214,Timothy Weah,Juventus,0.4,50.0,1247,30,USA
218,Matteo Pessina,Monza,0.4,48.3,3228,37,ITA
219,Andrea Belotti,Roma,0.4,47.1,1624,29,ITA
220,Pol Lirola,Frosinone,0.4,46.2,1538,25,ESP
221,Romelu Lukaku,Roma,0.4,45.8,2644,32,BEL
221,Stefan Posch,Bologna,0.4,45.8,2418,31,AUT
223,Walace,Udinese,0.4,45.7,3243,37,BRA
224,Rasmus Kristensen,Roma,0.4,41.2,1743,29,DEN
225,Lorenzo Lucca,Udinese,0.4,37.5,2600,37,ITA
226,Marco Davide Faraoni,Fiorentina,0.4,36.4,995,19,ITA
227,Antonin Barak,Fiorentina,0.4,33.3,802,21,CZE
228,Ciro Immobile,Lazio,0.4,29.6,1656,31,ITA
229,Sead Kolasinac,Atalanta,0.3,100.0,2182,30,BIH
230,Danilo,Juventus,0.3,88.9,2451,29,BRA
231,Giangiacomo Magnani,Verona,0.3,80.0,2441,33,ITA
231,Jhon Lucumi,Bologna,0.3,80.0,2214,29,COL
233,Koni De Winter,Genoa,0.3,77.8,2378,29,BEL
234,Amir Rrahmani,Napoli,0.3,76.9,2602,30,KVX
234,Gleison Bremer,Juventus,0.3,76.9,3234,36,BRA
236,Remo Freuler,Bologna,0.3,72.7,2632,32,SUI
236,Ricardo Rodriguez,Torino,0.3,72.7,2783,35,SUI
238,Nehuén Pérez,Udinese,0.3,64.3,3238,36,ARG
239,Alessandro Deiola,Cagliari,0.3,62.5,1608,27,ITA
