Rank,Player,Team,Shots per 90,Shot Conversion Rate (%),Minutes,Matches,Country
173,Hassane Kamara,Udinese,1.0,3.9,2238,35,CIV
174,Giovanni Di Lorenzo,Napoli,1.0,2.7,3235,36,ITA
175,Alessio Zerbin,Monza,1.0,0.0,829,20,ITA
175,Edoardo Bove,Roma,1.0,0.0,1777,31,ITA
175,Filip Kostic,Juventus,1.0,0.0,1831,29,SRB
178,Lucas Martinez Quarta,Fiorentina,0.9,20.8,2292,29,ARG
179,Ismael Bennacer,Milan,0.9,16.7,1151,20,ALG
180,Ibrahim Sulemana,Cagliari,0.9,15.4,1342,21,GHA
181,Amir Rrahmani,Napoli,0.9,12.0,2602,30,KVX
182,Radu Dragusin,Genoa,0.9,11.8,1710,19,ROU
183,Nahitan Nández,Cagliari,0.9,8.7,2351,33,URU
184,Joan Gonzalez,Lecce,0.9,7.7,1283,29,ESP
185,Morten Frendrup,Genoa,0.9,6.7,3146,37,DEN
186,Davide Calabria,Milan,0.9,4.8,2191,29,ITA
187,Ondrej Duda,Verona,0.9,4.2,2463,32,SVK
188,Ylber Ramadani,Lecce,0.9,3.2,2976,34,ALB
189,Raoul Bellanova,Torino,0.9,3.1,3063,37,ITA
190,Hans Hateboer,Atalanta,0.9,0.0,1104,23,NED
190,Jean-Daniel Akpa-Akpro,Monza,0.9,0.0,700,19,CIV
190,Marco Davide Faraoni,Fiorentina,0.9,0.0,995,19,ITA
190,Mohamed Kaba,Lecce,0.9,0.0,1382,23,FRA
190,Timothy Weah,Juventus,0.9,0.0,1247,30,USA
190,Yunus Musah,Milan,0.9,0.0,1468,30,USA
196,Matteo Pessina,Monza,0.8,22.2,3228,37,ITA
197,Nadir Zortea,Frosinone,0.8,16.7,1403,19,ITA
198,Luca Pellegrini,Lazio,0.8,14.3,781,19,ITA
199,Danilo Cataldi,Lazio,0.8,8.3,1360,28,ITA
200,Emmanuel Quartsin Gyasi,Empoli,0.8,6.3,1873,33,GHA
201,Benjamin Pavard,Internazionale,0.8,0.0,1677,23,FRA
201,Danilo D'Ambrosio,Monza,0.8,0.0,1534,24,ITA
201,Festy Ebosele,Udinese,0.8,0.0,1705,31,IRL
201,Karol Linetty,Torino,0.8,0.0,1860,28,POL
201,Valentino Lazaro,Torino,0.8,0.0,1989,35,AUT
201,Weston McKennie,Juventus,0.8,0.0,2599,34,USA
