Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
152,Edoardo Bove,Roma,0.4,2.3,1777,31,ITA
154,Alessandro Deiola,Cagliari,0.4,2.2,1608,27,ITA
154,Christian Pulisic,Milan,0.4,2.2,2620,36,USA
154,Matteo Ruggeri,Atalanta,0.4,2.2,2466,34,ITA
157,Paulo Azzi,Cagliari,0.4,2.0,936,25,BRA
158,Dany Mota,Monza,0.4,1.9,2059,34,POR
158,Giacomo Raspadori,Napoli,0.4,1.9,1572,37,ITA
158,Pol Lirola,Frosinone,0.4,1.9,1538,25,ESP
158,Roberto Pereyra,Udinese,0.4,1.9,1862,27,ARG
162,Nicola Zalewski,Roma,0.4,1.7,966,22,POL
163,Emmanuel Quartsin Gyasi,Empoli,0.4,1.6,1873,33,GHA
164,Kacper Urbanski,Bologna,0.4,1.5,921,22,POL
164,Luka Jovic,Milan,0.4,1.5,867,23,SRB
164,Nikola Krstovic,Lecce,0.4,1.5,2390,35,MNE
164,Riccardo Orsolini,Bologna,0.4,1.5,1792,33,ITA
168,Loum Tchaouna,Salernitana,0.4,1.4,2099,33,FRA
168,Moise Kean,Juventus,0.4,1.4,650,19,ITA
168,Patrick Dorgu,Lecce,0.4,1.4,1563,32,DEN
168,Stefano Sabelli,Genoa,0.4,1.4,2448,32,ITA
172,Carlos Augusto,Internazionale,0.4,1.3,1703,37,BRA
173,Jean-Daniel Akpa-Akpro,Monza,0.4,1.2,700,19,CIV
174,Timothy Weah,Juventus,0.4,1.1,1247,30,USA
175,Andrea Belotti,Fiorentina,0.4,0.8,1624,29,ITA
176,Francesco Caputo,Empoli,0.4,0.5,1274,20,ITA
177,Danilo Cataldi,Lazio,0.3,4.3,1360,28,ITA
178,Alexis Blin,Lecce,0.3,3.5,1632,31,FRA
179,Giulio Maggiore,Salernitana,0.3,3.4,1807,27,ITA
180,Ismael Bennacer,Milan,0.3,3.2,1151,20,ALG
181,Éderson,Atalanta,0.3,3.0,2873,36,BRA
181,Ivan Ilic,Torino,0.3,3.0,2099,31,SRB
183,Maxime Lopez,Fiorentina,0.3,2.9,936,21,FRA
183,Roberto Gagliardini,Monza,0.3,2.9,2366,33,ITA
185,Bryan Cristante,Roma,0.3,2.7,3292,37,ITA
186,Mathias Olivera,Napoli,0.3,2.6,1572,23,URU
187,Antoine Makoumbou,Cagliari,0.3,2.5,2707,32,CGO
187,Giorgio Scalvini,Atalanta,0.3,2.5,2553,33,ITA
189,Luca Pellegrini,Lazio,0.3,2.4,781,19,ITA
189,Marco Davide Faraoni,Verona,0.3,2.4,995,19,ITA
189,Theo Hernández,Milan,0.3,2.4,2794,32,FRA
192,Lewis Ferguson,Bologna,0.3,2.3,2718,31,SCO
193,Marco Brescianini,Frosinone,0.3,2.1,2321,36,ITA
194,Alessandro Bastoni,Internazionale,0.3,2.0,2283,28,ITA
194,Alessandro Florenzi,Milan,0.3,2.0,1730,31,ITA
196,Leonardo Spinazzola,Roma,0.3,1.9,1312,24,ITA
197,Arkadiusz Milik,Juventus,0.3,1.8,902,32,POL
198,Darko Lazovic,Verona,0.3,1.7,1942,32,SRB
199,Denzel Dumfries,Internazionale,0.3,1.5,1640,31,NED
199,Festy Ebosele,Udinese,0.3,1.5,1705,31,IRL
199,Weston McKennie,Juventus,0.3,1.5,2599,34,USA
202,Domagoj Bradaric,Salernitana,0.3,1.4,2753,34,CRO
202,Pasquale Mazzocchi,Napoli,0.3,1.4,1704,28,ITA
204,Filip Kostic,Juventus,0.3,1.3,1831,29,SRB
204,Matteo Cancellieri,Empoli,0.3,1.3,1784,36,ITA
206,Giorgos Kyriakopoulos,Monza,0.3,1.0,1716,28,GRE
