Rank,Player,Team,Tackles per 90,Tackle Success Rate (%),Minutes,Matches,Country
135,Lorenzo Pirola,Salernitana,1.0,59.0,1991,27,ITA
136,Alexis Blin,Lecce,1.0,57.6,1632,31,FRA
137,Adam Masina,Torino,1.0,57.1,1083,20,MAR
137,Fikayo Tomori,Milan,1.0,57.1,2125,26,ENG
137,Lorenzo Pellegrini,Roma,1.0,57.1,1866,29,ITA
140,Milan Badelj,Genoa,1.0,52.9,2555,33,CRO
141,Rasmus Kristensen,Roma,1.0,52.8,1743,29,DEN
142,Mateusz Legowski,Salernitana,1.0,52.2,1132,29,POL
143,Maxime Lopez,Fiorentina,1.0,50.0,936,21,FRA
144,Gregoire Defrel,Sassuolo,1.0,47.1,751,20,MTQ
145,Amir Rrahmani,Napoli,0.9,81.8,2602,30,KVX
146,Christian Pulisic,Milan,0.9,74.3,2620,36,USA
147,Kenan Yildiz,Juventus,0.9,69.2,945,27,TUR
148,Adam Marusic,Lazio,0.9,68.9,3106,37,MNE
149,Nicolo Barella,Internazionale,0.9,65.2,2860,37,ITA
150,Charles De Ketelaere,Atalanta,0.9,63.6,2042,35,BEL
151,Armando Izzo,Monza,0.9,63.0,1653,23,ITA
152,Pablo Mari,Monza,0.9,61.0,2616,34,ESP
153,Alberto Grassi,Empoli,0.9,60.0,1823,27,ITA
153,Ruan Tressoldi,Sassuolo,0.9,60.0,1515,26,BRA
155,Giovanni Fabbian,Bologna,0.9,58.8,1053,27,ITA
156,Demba Seck,Frosinone,0.9,58.3,718,20,SEN
157,Morten Thorsby,Genoa,0.9,57.9,1143,24,NOR
158,Koni De Winter,Genoa,0.9,56.8,2378,29,BEL
159,Michael Folorunsho,Verona,0.9,56.0,2793,34,ITA
159,Yunus Musah,Milan,0.9,56.0,1468,30,USA
161,Luca Mazzitelli,Frosinone,0.9,51.1,2221,29,ITA
162,Fabiano Parisi,Fiorentina,0.9,50.0,1452,21,ITA
162,Malick Thiaw,Milan,0.9,50.0,1620,21,GER
162,Norbert Gyömbér,Salernitana,0.9,50.0,1762,22,SVK
165,Stefano Sabelli,Genoa,0.9,48.0,2448,32,ITA
166,Ibrahim Sulemana,Cagliari,0.9,38.9,1342,21,GHA
167,Raoul Bellanova,Torino,0.8,72.2,3063,37,ITA
168,Lorenzo Colombo,Monza,0.8,70.6,1366,25,ITA
169,Marin Pongracic,Lecce,0.8,69.8,3220,36,CRO
170,Francesco Gelli,Frosinone,0.8,68.4,1558,27,ITA
171,Samuele Birindelli,Monza,0.8,67.9,2013,35,ITA
172,Matias Soulé,Frosinone,0.8,65.9,3136,36,ARG
173,Nicolás González,Fiorentina,0.8,64.3,1913,29,ARG
173,Ruben Loftus-Cheek,Milan,0.8,64.3,2081,29,ENG
175,Sardar Azmoun,Roma,0.8,62.5,571,23,IRN
176,Teun Koopmeiners,Atalanta,0.8,61.5,2633,34,NED
177,Diego Llorente,Roma,0.8,61.3,2173,29,ESP
178,Grigoris Kastanos,Salernitana,0.8,60.9,1486,26,CYP
179,Martin Erlic,Sassuolo,0.8,59.5,2624,32,CRO
180,Antoine Makoumbou,Cagliari,0.8,58.5,2707,32,CGO
181,Ricardo Rodriguez,Torino,0.8,57.8,2783,35,SUI
182,Berat Djimsiti,Atalanta,0.8,57.1,2831,37,ALB
182,Luis Alberto,Lazio,0.8,57.1,2323,33,ESP
182,Michel Aebischer,Bologna,0.8,57.1,2234,36,SUI
185,Ilario Monterisi,Frosinone,0.8,56.5,1467,24,ITA
186,Kristian Thorstvedt,Sassuolo,0.8,55.0,2413,34,NOR
187,Tijjani Reijnders,Milan,0.8,54.3,2830,36,NED
188,Nikola Milenkovic,Fiorentina,0.8,51.2,2506,34,SRB
189,Dan Ndoye,Bologna,0.8,50.0,1775,32,SUI
189,Danilo Cataldi,Lazio,0.8,50.0,1360,28,ITA
189,Emmanuel Quartsin Gyasi,Empoli,0.8,50.0,1873,33,GHA
189,Gaetano Oristanio,Cagliari,0.8,50.0,1102,25,ITA
193,Reinier,Frosinone,0.8,47.6,1064,22,BRA
194,Matteo Darmian,Internazionale,0.8,45.8,2413,33,ITA
195,Juan Jesus,Napoli,0.8,45.2,2117,24,BRA
196,Alexis Sánchez,Internazionale,0.7,85.7,751,23,CHI
197,Ademola Lookman,Atalanta,0.7,75.0,1899,31,NGA
198,Tommaso Augello,Cagliari,0.7,73.1,2429,32,ITA
199,Stefan de Vrij,Internazionale,0.7,72.2,1578,25,NED
200,Alessio Romagnoli,Lazio,0.7,72.0,2409,29,ITA
201,Sebastiano Luperto,Empoli,0.7,70.3,3407,38,ITA
202,Nicolas Viola,Cagliari,0.7,69.2,1202,26,ITA
203,Domagoj Bradaric,Salernitana,0.7,69.0,2753,34,CRO
204,Piotr Zielinski,Napoli,0.7,65.2,1938,28,POL
205,Stephan El Shaarawy,Roma,0.7,61.9,1741,33,ITA
206,Ardian Ismajli,Empoli,0.7,61.5,2046,26,ALB
206,Darko Lazovic,Verona,0.7,61.5,1942,32,SRB
208,Riccardo Orsolini,Bologna,0.7,60.9,1792,33,ITA
209,Mario Pasalic,Atalanta,0.7,60.7,2048,34,CRO
210,Mattia Zaccagni,Lazio,0.7,59.3,1971,28,ITA
211,Denzel Dumfries,Internazionale,0.7,59.1,1640,31,NED
212,Lewis Ferguson,Bologna,0.7,56.8,2718,31,SCO
212,Matteo Pessina,Monza,0.7,56.8,3228,37,ITA
