Rank,Player,Team,Big Chances Created,Total Assists,Minutes,Matches,Country
181,Anthony Oyono,Frosinone,2.0,1.0,1197,16,GAB
181,Arijon Ibrahimovic,Frosinone,2.0,1.0,470,16,GER
181,Charalambos Lykogiannis,Bologna,2.0,1.0,899,22,GRE
181,Christian Kabasele,Udinese,2.0,1.0,861,13,BEL
181,Christian Kouamé,Fiorentina,2.0,1.0,1084,23,CIV
181,Daniel Maldini,Monza,2.0,1.0,588,18,ITA
181,Éderson,Atalanta,2.0,1.0,2873,36,BRA
181,Filippo Terracciano,Verona,2.0,1.0,1368,21,ITA
181,Francesco Acerbi,Internazionale,2.0,1.0,2386,29,ITA
181,Gianluca Lapadula,Cagliari,2.0,1.0,1206,23,PER
181,Gianluca Mancini,Roma,2.0,1.0,2872,36,ITA
181,Joan Gonzalez,Lecce,2.0,1.0,1283,29,ESP
181,Lassana Coulibaly,Salernitana,2.0,1.0,2086,28,MLI
181,Mateusz Wieteska,Cagliari,2.0,1.0,958,19,POL
181,Mattia Zaccagni,Lazio,2.0,1.0,1971,28,ITA
181,Nicola Zalewski,Roma,2.0,1.0,966,22,POL
181,Pol Lirola,Frosinone,2.0,1.0,1538,25,ESP
181,Pontus Almqvist,Lecce,2.0,1.0,2115,30,SWE
181,Rasmus Kristensen,Roma,2.0,1.0,1743,29,DEN
181,Ridgeciano Haps,Genoa,2.0,1.0,770,16,SUR
181,Sebastiano Luperto,Empoli,2.0,1.0,3407,38,ITA
181,Simon Kjær,Milan,2.0,1.0,1171,20,DEN
181,Stanislav Lobotka,Napoli,2.0,1.0,3293,38,SVK
207,Adam Obert,Cagliari,2.0,0.0,940,17,SVK
207,Francesco Caputo,Empoli,2.0,0.0,1274,20,ITA
207,Junior Messias,Genoa,2.0,0.0,1056,18,BRA
207,Karol Linetty,Torino,2.0,0.0,1860,28,POL
207,Kenan Yildiz,Juventus,2.0,0.0,945,27,TUR
207,Luca Mazzitelli,Frosinone,2.0,0.0,2221,29,ITA
207,Roberto Piccoli,Lecce,2.0,0.0,1397,37,ITA
207,Ruan Tressoldi,Sassuolo,2.0,0.0,1515,26,BRA
207,Sead Kolasinac,Atalanta,2.0,0.0,2182,30,BIH
216,Alfred Duncan,Fiorentina,1.0,5.0,1893,30,GHA
216,Marten de Roon,Atalanta,1.0,5.0,2599,30,NED
218,Lorenzo Lucca,Udinese,1.0,4.0,2600,37,ITA
