Rank,Player,Team,Expected Goals per 90,Goals per 90,Minutes,Matches,Country
141,Davide Zappacosta,Atalanta,0.11,0.1,1875,31,ITA
141,Leandro Paredes,Roma,0.11,0.1,2644,34,ARG
143,Bryan Cristante,Roma,0.11,0.08,3292,37,ITA
144,Roberto Gagliardini,Monza,0.11,0.04,2366,33,ITA
145,Andre-Frank Zambo Anguissa,Napoli,0.11,0.0,2792,34,CMR
145,Kacper Urbanski,Bologna,0.11,0.0,921,22,POL
145,Timothy Weah,Juventus,0.11,0.0,1247,30,USA
148,Uros Racic,Sassuolo,0.1,0.11,813,22,SRB
149,Martin Payero,Udinese,0.1,0.1,1801,29,ARG
149,Tijjani Reijnders,Milan,0.1,0.1,2830,36,NED
151,Pontus Almqvist,Lecce,0.1,0.09,2115,30,SWE
152,Fabio Miretti,Juventus,0.1,0.08,1104,25,ITA
153,Edoardo Bove,Roma,0.1,0.0,1777,31,ITA
153,Weston McKennie,Juventus,0.1,0.0,2599,34,USA
155,Luca Mazzitelli,Frosinone,0.09,0.2,2221,29,ITA
156,Marco Brescianini,Frosinone,0.09,0.16,2321,36,ITA
157,Ivan Ilic,Torino,0.09,0.13,2099,31,SRB
158,Nikola Moro,Bologna,0.09,0.11,835,23,CRO
159,Jacopo Fazzini,Empoli,0.09,0.07,1226,31,ITA
160,Alessandro Florenzi,Milan,0.09,0.05,1730,31,ITA
160,Matteo Prati,Cagliari,0.09,0.05,1972,26,ITA
162,Giovanni Di Lorenzo,Napoli,0.09,0.03,3235,36,ITA
163,Alessio Zerbin,Monza,0.09,0.0,829,20,ITA
163,Jaka Bijol,Udinese,0.09,0.0,2083,24,SVN
163,Patrick Ciurria,Monza,0.09,0.0,1602,22,ITA
166,Pol Lirola,Frosinone,0.08,0.12,1538,25,ESP
167,Patric,Lazio,0.08,0.11,1610,20,ESP
167,Samuel Iling-Junior,Juventus,0.08,0.11,800,24,ENG
169,Amir Rrahmani,Napoli,0.08,0.1,2602,30,KVX
169,Nikola Vlasic,Torino,0.08,0.1,2614,33,CRO
171,Andrea Cambiaso,Juventus,0.08,0.08,2387,34,ITA
172,Joan Gonzalez,Lecce,0.08,0.07,1283,29,ESP
172,Matheus Henrique,Sassuolo,0.08,0.07,2501,31,BRA
174,Hassane Kamara,Udinese,0.08,0.04,2238,35,CIV
174,Ondrej Duda,Verona,0.08,0.04,2463,32,SVK
176,Mohamed Kaba,Lecce,0.08,0.0,1382,23,FRA
176,Nicola Zalewski,Roma,0.08,0.0,966,22,POL
176,Valentino Lazaro,Torino,0.08,0.0,1989,35,AUT
179,Cristian Volpato,Sassuolo,0.07,0.14,632,22,ITA
180,Ilario Monterisi,Frosinone,0.07,0.12,1467,24,ITA
180,Kristjan Asllani,Internazionale,0.07,0.12,771,23,ALB
182,Diego Coppola,Verona,0.07,0.11,1636,24,ITA
183,Alfred Duncan,Fiorentina,0.07,0.1,1893,30,GHA
184,Jordan Zemura,Udinese,0.07,0.09,1033,27,ZIM
185,Alberto Dossena,Cagliari,0.07,0.06,2979,35,ITA
185,Andrea Carboni,Monza,0.07,0.06,1490,21,ITA
187,Giorgio Scalvini,Atalanta,0.07,0.04,2553,33,ITA
187,Sam Beukema,Bologna,0.07,0.04,2549,30,NED
189,Jean-Daniel Akpa-Akpro,Monza,0.07,0.0,700,19,CIV
190,Ruslan Malinovsky,Genoa,0.06,0.23,1547,28,UKR
191,Gianluca Mancini,Roma,0.06,0.13,2872,36,ITA
191,Ibrahim Sulemana,Cagliari,0.06,0.13,1342,21,GHA
193,Alessandro Buongiorno,Torino,0.06,0.11,2530,29,ITA
193,Francesco Acerbi,Internazionale,0.06,0.11,2386,29,ITA
195,Cristiano Biraghi,Fiorentina,0.06,0.08,2358,29,ITA
195,Matteo Guendouzi,Lazio,0.06,0.08,2370,33,FRA
195,Riccardo Calafiori,Bologna,0.06,0.08,2338,30,ITA
198,Warren Bondo,Monza,0.06,0.06,1471,25,FRA
199,Gabriele Zappa,Cagliari,0.06,0.04,2559,38,ITA
199,Gian Marco Ferrari,Sassuolo,0.06,0.04,2268,31,ITA
199,Juan Jesus,Napoli,0.06,0.04,2117,24,BRA
199,Sead Kolasinac,Atalanta,0.06,0.04,2182,30,BIH
203,Johan Vásquez,Genoa,0.06,0.03,2851,37,MEX
203,Raoul Bellanova,Torino,0.06,0.03,3063,37,ITA
205,Alexis Blin,Lecce,0.06,0.0,1632,31,FRA
205,Fabiano Parisi,Fiorentina,0.06,0.0,1452,21,ITA
205,Giorgos Kyriakopoulos,Monza,0.06,0.0,1716,28,GRE
205,Manuel Lazzari,Lazio,0.06,0.0,1675,24,ITA
205,Samuele Birindelli,Monza,0.06,0.0,2013,35,ITA
205,Youssef Maleh,Empoli,0.06,0.0,2610,34,MAR
211,Radu Dragusin,Genoa,0.05,0.11,1710,19,ROU
212,Arthur,Fiorentina,0.05,0.09,1993,33,BRA
213,Gleison Bremer,Juventus,0.05,0.08,3234,36,BRA
213,Mattia Bani,Genoa,0.05,0.08,2309,27,ITA
215,Morten Frendrup,Genoa,0.05,0.06,3146,37,DEN
