Rank,Player,Team,Yellow Cards,Red Cards,Minutes,Matches,Country
265,Charalambos Lykogiannis,Bologna,2.0,0.0,899,22,GRE
265,Christian Pulisic,Milan,2.0,0.0,2620,36,USA
265,Chukwubuikem Ikwuemesi,Salernitana,2.0,0.0,1058,25,NGA
265,Daniel Silva,Verona,2.0,0.0,440,14,POR
265,Daniele Rugani,Juventus,2.0,0.0,1189,17,ITA
265,Duvan Zapata,Torino,2.0,0.0,3005,37,COL
265,Edoardo Bove,Roma,2.0,0.0,1777,31,ITA
265,El Bilal Touré,Atalanta,2.0,0.0,386,11,MLI
265,Eljif Elmas,Napoli,2.0,0.0,331,11,MKD
265,Elseid Hysaj,Lazio,2.0,0.0,1194,22,ALB
265,Fabien Centonze,Verona,2.0,0.0,674,10,FRA
265,Filip Kostic,Juventus,2.0,0.0,1831,29,SRB
265,Filippo Terracciano,Milan,2.0,0.0,1368,21,ITA
265,Flavius Daniliuc,Salernitana,2.0,0.0,742,14,AUT
265,Gabriele Zappa,Cagliari,2.0,0.0,2559,38,ITA
265,Giulio Donati,Monza,2.0,0.0,32,4,ITA
265,Giuseppe Caso,Frosinone,2.0,0.0,409,14,ITA
265,Gvidas Gineitis,Torino,2.0,0.0,532,14,LTU
265,Ismael Bennacer,Milan,2.0,0.0,1151,20,ALG
265,Jackson Tchatchoua,Verona,2.0,0.0,1725,26,CMR
265,Jesper Lindstrøm,Napoli,2.0,0.0,417,22,DEN
265,Jhon Lucumi,Bologna,2.0,0.0,2214,29,COL
265,Jose Machin,Monza,2.0,0.0,232,10,EQG
265,Kaio Jorge,Frosinone,2.0,0.0,805,20,BRA
265,Keinan Davis,Udinese,2.0,0.0,180,8,ENG
265,Koffi Djidji,Torino,2.0,0.0,760,13,CIV
265,Lukasz Skorupski,Bologna,2.0,0.0,2880,32,POL
265,Maduka Okoye,Udinese,2.0,0.0,1890,21,NGA
265,Matteo Darmian,Internazionale,2.0,0.0,2413,33,ITA
265,Mattia Destro,Empoli,2.0,0.0,356,15,ITA
265,M'Bala Nzola,Fiorentina,2.0,0.0,1545,33,ANG
265,Michael Kayode,Fiorentina,2.0,0.0,2063,26,ITA
265,Moise Kean,Juventus,2.0,0.0,650,19,ITA
265,Morten Thorsby,Genoa,2.0,0.0,1143,24,NOR
265,Patrick Ciurria,Monza,2.0,0.0,1602,22,ITA
265,Perr Schuurs,Torino,2.0,0.0,771,9,NED
265,Renato Sanches,Roma,2.0,0.0,142,7,POR
265,Riccardo Orsolini,Bologna,2.0,0.0,1792,33,ITA
265,Rick Karsdorp,Roma,2.0,0.0,1214,18,NED
265,Saba Sazonov,Torino,2.0,0.0,348,12,GEO
265,Samuel Castillejo,Sassuolo,2.0,0.0,528,17,ESP
265,Samuel Vignato,Monza,2.0,0.0,339,10,ITA
265,Stephan El Shaarawy,Roma,2.0,0.0,1741,33,ITA
265,Tijjani Noslin,Verona,2.0,0.0,1346,17,NED
265,Valentin Carboni,Monza,2.0,0.0,1158,31,ARG
265,Valentin Castellanos,Lazio,2.0,0.0,1676,35,ARG
265,Vanja Milinkovic-Savic,Torino,2.0,0.0,3240,36,SRB
265,Vitor Oliveira,Genoa,2.0,0.0,281,9,POR
326,Maxime Lopez,Fiorentina,1.0,1.0,936,21,FRA
326,Mike Maignan,Milan,1.0,1.0,2609,29,FRA
326,Natan,Napoli,1.0,1.0,955,14,BRA
326,Nicola Zalewski,Roma,1.0,1.0,966,22,POL
326,Olivier Giroud,Milan,1.0,1.0,2372,35,FRA
326,Sandi Lovric,Udinese,1.0,1.0,1988,29,SVN
326,Vincenzo Fiorillo,Salernitana,1.0,1.0,360,4,ITA
333,Adam Obert,Cagliari,1.0,0.0,940,17,SVK
333,Agustin Martegani,Salernitana,1.0,0.0,725,18,ARG
333,Ahmed Touba,Lecce,1.0,0.0,275,6,ALG
333,Alejandro Jimenez,Milan,1.0,0.0,65,3,ESP
333,Aleksey Miranchuk,Atalanta,1.0,0.0,1170,27,RUS
333,Alex Sandro,Juventus,1.0,0.0,716,16,BRA
333,Andrea Belotti,Roma,1.0,0.0,1624,29,ITA
333,Andrea Carboni,Monza,1.0,0.0,1490,21,ITA
333,Andrea Colpani,Monza,1.0,0.0,2683,38,ITA
333,Andrea Consigli,Sassuolo,1.0,0.0,3150,35,ITA
333,Arijon Ibrahimovic,Frosinone,1.0,0.0,470,16,GER
333,Boulaye Dia,Salernitana,1.0,0.0,1143,17,SEN
333,Carlos Augusto,Internazionale,1.0,0.0,1703,37,BRA
333,Charles De Ketelaere,Atalanta,1.0,0.0,2042,35,BEL
333,Cristian Volpato,Sassuolo,1.0,0.0,632,22,ITA
333,Daniel Maldini,Empoli,1.0,0.0,588,18,ITA
333,Daniele Padelli,Udinese,1.0,0.0,0,1,ITA
333,Davide Frattesi,Internazionale,1.0,0.0,934,32,ITA
