Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
129,Marco Brescianini,Frosinone,2.3,4.0,2321,36,ITA
132,Amir Rrahmani,Napoli,2.3,3.0,2602,30,KVX
132,Rémi Oudin,Lecce,2.3,3.0,1826,31,FRA
134,Davide Zappacosta,Atalanta,2.3,2.0,1875,31,ITA
134,Matheus Henrique,Sassuolo,2.3,2.0,2501,31,BRA
134,Pontus Almqvist,Lecce,2.3,2.0,2115,30,SWE
134,Valentin Carboni,Monza,2.3,2.0,1158,31,ARG
138,Moise Kean,Juventus,2.3,0.0,650,19,ITA
139,Alberto Dossena,Cagliari,2.2,2.0,2979,35,ITA
139,Andrea Cambiaso,Juventus,2.2,2.0,2387,34,ITA
141,Ondrej Duda,Verona,2.2,1.0,2463,32,SVK
142,Ivan Ilic,Torino,2.1,3.0,2099,31,SRB
143,Martin Payero,Udinese,2.1,2.0,1801,29,ARG
144,Raoul Bellanova,Torino,2.1,1.0,3063,37,ITA
145,George Puscas,Genoa,2.1,0.0,185,8,ROU
145,Jaka Bijol,Udinese,2.1,0.0,2083,24,SVN
147,Gaetano Oristanio,Cagliari,2.0,2.0,1102,25,ITA
147,Patrick Dorgu,Lecce,2.0,2.0,1563,32,DEN
149,Matteo Prati,Cagliari,2.0,1.0,1972,26,ITA
149,Sam Beukema,Bologna,2.0,1.0,2549,30,NED
151,Edoardo Bove,Roma,2.0,0.0,1777,31,ITA
152,Gianluca Gaetano,Cagliari,1.9,5.0,905,20,ITA
153,Gianluca Mancini,Roma,1.9,4.0,2872,36,ITA
154,Christian Kouamé,Fiorentina,1.9,2.0,1084,23,CIV
155,Alberto Cerri,Empoli,1.9,1.0,553,12,ITA
155,Giorgio Scalvini,Atalanta,1.9,1.0,2553,33,ITA
155,Hassane Kamara,Udinese,1.9,1.0,2238,35,CIV
155,Johan Vásquez,Genoa,1.9,1.0,2851,37,MEX
155,Sebastiano Luperto,Empoli,1.9,1.0,3407,38,ITA
160,Daichi Kamada,Lazio,1.8,2.0,1543,29,JPN
160,Morten Thorsby,Genoa,1.8,2.0,1143,24,NOR
162,Gabriele Zappa,Cagliari,1.8,1.0,2559,38,ITA
162,Pietro Pellegri,Torino,1.8,1.0,745,24,ITA
164,Federico Baschirotto,Lecce,1.8,0.0,3295,37,ITA
164,Valentino Lazaro,Torino,1.8,0.0,1989,35,AUT
166,Gleison Bremer,Juventus,1.7,3.0,3234,36,BRA
166,Nemanja Radonjic,Torino,1.7,3.0,373,10,SRB
168,Daniele Rugani,Juventus,1.7,2.0,1189,17,ITA
168,Ismael Bennacer,Milan,1.7,2.0,1151,20,ALG
168,Karol Swiderski,Verona,1.7,2.0,496,15,POL
168,Morten Frendrup,Genoa,1.7,2.0,3146,37,DEN
172,Alessandro Florenzi,Milan,1.7,1.0,1730,31,ITA
172,Samuel Chukwueze,Milan,1.7,1.0,1012,24,NGA
172,Samuel Vignato,Monza,1.7,1.0,339,10,ITA
175,Daniel Maldini,Monza,1.6,4.0,588,18,ITA
176,Alessandro Buongiorno,Torino,1.6,3.0,2530,29,ITA
176,Francesco Acerbi,Internazionale,1.6,3.0,2386,29,ITA
176,Gustav Isaksen,Lazio,1.6,3.0,1069,28,DEN
179,Cristiano Biraghi,Fiorentina,1.6,2.0,2358,29,ITA
179,Kenan Yildiz,Juventus,1.6,2.0,945,27,TUR
179,Matteo Gabbia,Milan,1.6,2.0,1276,18,ITA
179,Matteo Guendouzi,Lazio,1.6,2.0,2370,33,FRA
179,Valentin Gendrey,Lecce,1.6,2.0,3050,37,FRA
184,Andrea Petagna,Cagliari,1.6,1.0,996,18,ITA
184,Gian Marco Ferrari,Sassuolo,1.6,1.0,2268,31,ITA
184,Hamza Rafia,Lecce,1.6,1.0,1211,28,TUN
184,Junior Messias,Genoa,1.6,1.0,1056,18,BRA
188,Samuele Mulattieri,Sassuolo,1.6,0.0,441,27,ITA
188,Youssef Maleh,Empoli,1.6,0.0,2610,34,MAR
190,Alfred Duncan,Fiorentina,1.5,2.0,1893,30,GHA
190,Antonin Barak,Fiorentina,1.5,2.0,802,21,CZE
190,Jens Odgaard,Bologna,1.5,2.0,431,10,DEN
190,Luis Muriel,Atalanta,1.5,2.0,395,18,COL
190,Riccardo Calafiori,Bologna,1.5,2.0,2338,30,ITA
195,Jakub Jankto,Cagliari,1.5,1.0,878,18,CZE
195,Manuel Locatelli,Juventus,1.5,1.0,3011,36,ITA
195,Milan Badelj,Genoa,1.5,1.0,2555,33,CRO
195,Pedro Rodriguez,Lazio,1.5,1.0,798,33,ESP
199,Demba Seck,Frosinone,1.5,0.0,718,20,SEN
199,Jens-Lys Cajuste,Napoli,1.5,0.0,1007,26,SWE
199,Nehuén Pérez,Udinese,1.5,0.0,3238,36,ARG
199,Patrick Ciurria,Monza,1.5,0.0,1602,22,ITA
199,Timothy Weah,Juventus,1.5,0.0,1247,30,USA
204,Patric,Lazio,1.4,2.0,1610,20,ESP
205,Marvin Cuni,Frosinone,1.4,1.0,522,22,ALB
206,Charalambos Lykogiannis,Bologna,1.3,2.0,899,22,GRE
206,Mattia Bani,Genoa,1.3,2.0,2309,27,ITA
206,Pol Lirola,Frosinone,1.3,2.0,1538,25,ESP
206,Reinier,Frosinone,1.3,2.0,1064,22,BRA
206,Yerry Mina,Cagliari,1.3,2.0,1259,18,COL
211,Danilo,Juventus,1.3,1.0,2451,29,BRA
211,Davide Calabria,Milan,1.3,1.0,2191,29,ITA
211,Juan Jesus,Napoli,1.3,1.0,2117,24,BRA
211,Remo Freuler,Bologna,1.3,1.0,2632,32,SUI
211,Samuele Ricci,Torino,1.3,1.0,2400,32,ITA
211,Sead Kolasinac,Atalanta,1.3,1.0,2182,30,BIH
217,Kingsley Ehizibue,Udinese,1.3,0.0,955,23,NED
217,Marco Mancosu,Cagliari,1.3,0.0,156,6,ITA
217,Samuele Birindelli,Monza,1.3,0.0,2013,35,ITA
220,Diego Coppola,Verona,1.2,2.0,1636,24,ITA
220,El Bilal Touré,Atalanta,1.2,2.0,386,11,MLI
220,Matteo Darmian,Internazionale,1.2,2.0,2413,33,ITA
223,Alessandro Bastoni,Internazionale,1.2,1.0,2283,28,ITA
223,Andrea Carboni,Monza,1.2,1.0,1490,21,ITA
223,Christian Kabasele,Udinese,1.2,1.0,861,13,BEL
