Rank,Player,Team,Expected Assists (xA),Actual Assists,Minutes,Matches,Country
175,Josh Doig,Sassuolo,1.2,2.0,2183,28,SCO
175,Juan Cuadrado,Internazionale,1.2,2.0,258,10,COL
179,Christian Kouamé,Fiorentina,1.2,1.0,1084,23,CIV
179,Dan Ndoye,Bologna,1.2,1.0,1775,32,SUI
179,Fabio Miretti,Juventus,1.2,1.0,1104,25,ITA
179,Hans Hateboer,Atalanta,1.2,1.0,1104,23,NED
179,Matias Vecino,Lazio,1.2,1.0,1135,31,URU
179,Matteo Prati,Cagliari,1.2,1.0,1972,26,ITA
185,Giuseppe Pezzella,Empoli,1.2,0.0,1088,19,ITA
185,Junior Messias,Genoa,1.2,0.0,1056,18,BRA
187,Eldor Shomurodov,Cagliari,1.1,3.0,933,22,UZB
187,Valentin Castellanos,Lazio,1.1,3.0,1676,35,ARG
189,Gregoire Defrel,Sassuolo,1.1,2.0,751,20,MTQ
190,Andrea Petagna,Cagliari,1.1,1.0,996,18,ITA
190,Enzo Barrenechea,Frosinone,1.1,1.0,2816,36,ARG
190,Gianluca Mancini,Roma,1.1,1.0,2872,36,ITA
190,Johan Vásquez,Genoa,1.1,1.0,2851,37,MEX
190,Lucas Martinez Quarta,Fiorentina,1.1,1.0,2292,29,ARG
190,Michael Folorunsho,Verona,1.1,1.0,2793,34,ITA
190,Timothy Weah,Juventus,1.1,1.0,1247,30,USA
197,Adam Marusic,Lazio,1.1,0.0,3106,37,MNE
197,Hamza Rafia,Lecce,1.1,0.0,1211,28,TUN
199,Tijjani Noslin,Verona,1.0,4.0,1346,17,NED
200,Emmanuel Quartsin Gyasi,Empoli,1.0,2.0,1873,33,GHA
200,Pedro Pereira,Monza,1.0,2.0,833,23,POR
202,Danilo,Juventus,1.0,1.0,2451,29,BRA
202,Emil Holm,Atalanta,1.0,1.0,948,22,SWE
202,Gaetano Oristanio,Cagliari,1.0,1.0,1102,25,ITA
202,Gianluca Gaetano,Cagliari,1.0,1.0,905,20,ITA
202,Michel Aebischer,Bologna,1.0,1.0,2234,36,SUI
202,Pol Lirola,Frosinone,1.0,1.0,1538,25,ESP
208,Elseid Hysaj,Lazio,1.0,0.0,1194,22,ALB
208,Filippo Ranocchia,Empoli,1.0,0.0,477,9,ITA
208,Gvidas Gineitis,Torino,1.0,0.0,532,14,LTU
208,Simone Bastoni,Empoli,1.0,0.0,748,16,ITA
212,Riccardo Calafiori,Bologna,0.9,5.0,2338,30,ITA
213,Victor Osimhen,Napoli,0.9,3.0,1990,25,NGA
214,Alessandro Zanoli,Salernitana,0.9,2.0,969,21,ITA
214,Marco Davide Faraoni,Fiorentina,0.9,2.0,995,19,ITA
214,Martin Payero,Udinese,0.9,2.0,1801,29,ARG
214,Nicola Sansone,Lecce,0.9,2.0,750,25,ITA
214,Nicolo Fagioli,Juventus,0.9,2.0,440,8,ITA
214,Suat Serdar,Verona,0.9,2.0,1661,25,GER
220,Charalambos Lykogiannis,Bologna,0.9,1.0,899,22,GRE
220,Joao Ferreira,Udinese,0.9,1.0,1812,35,POR
220,Lassana Coulibaly,Salernitana,0.9,1.0,2086,28,MLI
220,Radu Dragusin,Genoa,0.9,1.0,1710,19,ROU
220,Sebastiano Luperto,Empoli,0.9,1.0,3407,38,ITA
225,Antoine Makoumbou,Cagliari,0.9,0.0,2707,32,CGO
225,Antonio Sanabria,Torino,0.9,0.0,2133,35,PAR
225,Danilo Cataldi,Lazio,0.9,0.0,1360,28,ITA
225,Jesper Lindstrøm,Napoli,0.9,0.0,417,22,DEN
225,Luca Mazzitelli,Frosinone,0.9,0.0,2221,29,ITA
225,Nikola Milenkovic,Fiorentina,0.9,0.0,2506,34,SRB
225,Samuel Castillejo,Sassuolo,0.9,0.0,528,17,ESP
232,Riccardo Marchizza,Frosinone,0.8,4.0,1149,13,ITA
233,Giovanni Fabbian,Bologna,0.8,2.0,1053,27,ITA
233,Giulio Maggiore,Salernitana,0.8,2.0,1807,27,ITA
233,Kristjan Asllani,Internazionale,0.8,2.0,771,23,ALB
236,Daniel Maldini,Monza,0.8,1.0,588,18,ITA
236,Fabien Centonze,Verona,0.8,1.0,674,10,FRA
236,Hans Nicolussi Caviglia,Juventus,0.8,1.0,266,8,ITA
236,Joan Gonzalez,Lecce,0.8,1.0,1283,29,ESP
236,Kacper Urbanski,Bologna,0.8,1.0,921,22,POL
241,Francesco Caputo,Empoli,0.8,0.0,1274,20,ITA
241,Giovanni Simeone,Napoli,0.8,0.0,787,28,ARG
241,Gleison Bremer,Juventus,0.8,0.0,3234,36,BRA
241,Jaime Báez,Frosinone,0.8,0.0,502,11,URU
241,Juan Jesus,Napoli,0.8,0.0,2117,24,BRA
241,Mario Gila,Lazio,0.8,0.0,1813,21,ESP
241,Maxime Lopez,Fiorentina,0.8,0.0,936,21,FRA
241,Mohamed Kaba,Lecce,0.8,0.0,1382,23,FRA
241,Nikola Moro,Bologna,0.8,0.0,835,23,CRO
241,Walace,Udinese,0.8,0.0,3243,37,BRA
251,Matias Vina,Sassuolo,0.7,3.0,1019,15,URU
252,Alexis Blin,Lecce,0.7,2.0,1632,31,FRA
252,Jens-Lys Cajuste,Napoli,0.7,2.0,1007,26,SWE
252,Marcus Holmgren Pedersen,Sassuolo,0.7,2.0,1605,28,NOR
252,Milan Djuric,Monza,0.7,2.0,2464,37,BIH
252,Reinier,Frosinone,0.7,2.0,1064,22,BRA
252,Yunus Musah,Milan,0.7,2.0,1468,30,USA
258,Anthony Oyono,Frosinone,0.7,1.0,1197,16,GAB
258,Arijon Ibrahimovic,Frosinone,0.7,1.0,470,16,GER
258,Arkadiusz Milik,Juventus,0.7,1.0,902,32,POL
258,Caleb Ekuban,Genoa,0.7,1.0,1123,29,GHA
258,Gianluca Lapadula,Cagliari,0.7,1.0,1206,23,PER
258,Luca Ranieri,Fiorentina,0.7,1.0,2067,26,ITA
258,Luka Jovic,Milan,0.7,1.0,867,23,SRB
258,Ruslan Malinovsky,Genoa,0.7,1.0,1547,28,UKR
258,Sam Beukema,Bologna,0.7,1.0,2549,30,NED
258,Walid Cheddira,Frosinone,0.7,1.0,2130,36,MAR
268,Adam Obert,Cagliari,0.7,0.0,940,17,SVK
268,Alex Sandro,Juventus,0.7,0.0,716,16,BRA
268,Amir Rrahmani,Napoli,0.7,0.0,2602,30,KVX
268,Gian Marco Ferrari,Sassuolo,0.7,0.0,2268,31,ITA
268,Gianluca Caprari,Monza,0.7,0.0,286,6,ITA
268,Josip Brekalo,Fiorentina,0.7,0.0,654,11,CRO
268,Karol Linetty,Torino,0.7,0.0,1860,28,POL
268,Patrick Dorgu,Lecce,0.7,0.0,1563,32,DEN
268,Toma Basic,Salernitana,0.7,0.0,1166,15,CRO
268,Ylber Ramadani,Lecce,0.7,0.0,2976,34,ALB
278,Lorenzo Lucca,Udinese,0.6,4.0,2600,37,ITA
279,Junior Sambia,Salernitana,0.6,2.0,1031,18,FRA
279,Mateo Retegui,Genoa,0.6,2.0,2225,29,ITA
279,Morten Thorsby,Genoa,0.6,2.0,1143,24,NOR
279,Nicolo Rovella,Lazio,0.6,2.0,1322,23,ITA
279,Santiago Pierotti,Lecce,0.6,2.0,190,11,ARG
284,Chukwubuikem Ikwuemesi,Salernitana,0.6,1.0,1058,25,NGA
284,Isaac Success,Udinese,0.6,1.0,872,27,NGA
284,Simon Kjær,Milan,0.6,1.0,1171,20,DEN
284,Tyronne Ebuehi,Empoli,0.6,1.0,1096,15,NGA
284,Viktor Kovalenko,Empoli,0.6,1.0,606,17,UKR
289,Alessio Romagnoli,Lazio,0.6,0.0,2409,29,ITA
289,Dodo,Fiorentina,0.6,0.0,523,9,BRA
289,El Bilal Touré,Atalanta,0.6,0.0,386,11,MLI
289,Houssem Aouar,Roma,0.6,0.0,756,16,ALG
289,Jovane Cabral,Salernitana,0.6,0.0,680,12,CPV
289,Juan Cabal,Verona,0.6,0.0,1497,22,COL
289,Karol Swiderski,Verona,0.6,0.0,496,15,POL
289,Marin Pongracic,Lecce,0.6,0.0,3220,36,CRO
289,Pablo Mari,Monza,0.6,0.0,2616,34,ESP
289,Roberto Piccoli,Lecce,0.6,0.0,1397,37,ITA
289,Sead Kolasinac,Atalanta,0.6,0.0,2182,30,BIH
300,Evan N'Dicka,Roma,0.5,3.0,2170,25,CIV
301,Noah Okafor,Milan,0.5,2.0,869,28,SUI
302,Alessandro Vogliacco,Genoa,0.5,1.0,1171,20,ITA
302,Berat Djimsiti,Atalanta,0.5,1.0,2831,37,ALB
302,Federico Bonazzoli,Verona,0.5,1.0,1014,24,ITA
302,Kingsley Ehizibue,Udinese,0.5,1.0,955,23,NED
302,Lorenzo Colombo,Monza,0.5,1.0,1366,25,ITA
307,Alessandro Deiola,Cagliari,0.5,0.0,1608,27,ITA
307,Boulaye Dia,Salernitana,0.5,0.0,1143,17,SEN
307,Daniel Boloca,Sassuolo,0.5,0.0,2023,30,ROU
307,Demba Seck,Frosinone,0.5,0.0,718,20,SEN
307,Giangiacomo Magnani,Verona,0.5,0.0,2441,33,ITA
307,Jaka Bijol,Udinese,0.5,0.0,2083,24,SVN
307,Samuele Mulattieri,Sassuolo,0.5,0.0,441,27,ITA
307,Sardar Azmoun,Roma,0.5,0.0,571,23,IRN
315,Jakub Jankto,Cagliari,0.4,2.0,878,18,CZE
316,Bartosz Bereszynski,Empoli,0.4,1.0,1766,24,POL
316,Carlos Alcaraz,Juventus,0.4,1.0,377,10,ARG
316,Ridgeciano Haps,Genoa,0.4,1.0,770,16,SUR
319,Adam Masina,Torino,0.4,0.0,1083,20,MAR
319,Agustin Martegani,Salernitana,0.4,0.0,725,18,ARG
319,Alessandro Buongiorno,Torino,0.4,0.0,2530,29,ITA
319,Andrea Carboni,Monza,0.4,0.0,1490,21,ITA
319,Danilo D'Ambrosio,Monza,0.4,0.0,1534,24,ITA
319,David Ankeye,Genoa,0.4,0.0,52,6,NGA
319,Djed Spence,Genoa,0.4,0.0,853,16,ENG
319,Edoardo Goldaniga,Cagliari,0.4,0.0,1013,13,ITA
319,Jesper Karlsson,Bologna,0.4,0.0,345,7,SWE
319,Jhon Lucumi,Bologna,0.4,0.0,2214,29,COL
319,Luca Garritano,Frosinone,0.4,0.0,484,12,ITA
319,Marco Mancosu,Cagliari,0.4,0.0,156,6,ITA
319,Martin Erlic,Sassuolo,0.4,0.0,2624,32,CRO
319,Mateusz Legowski,Salernitana,0.4,0.0,1132,29,POL
319,Mehmet Zeki Celik,Roma,0.4,0.0,665,17,TUR
319,Nehuén Pérez,Udinese,0.4,0.0,3238,36,ARG
319,Paulo Azzi,Cagliari,0.4,0.0,936,25,BRA
319,Pedro Obiang,Sassuolo,0.4,0.0,453,8,EQG
319,Perr Schuurs,Torino,0.4,0.0,771,9,NED
319,Ruan Tressoldi,Sassuolo,0.4,0.0,1515,26,BRA
319,Simy,Salernitana,0.4,0.0,680,15,NGA
319,Stefan de Vrij,Internazionale,0.4,0.0,1578,25,NED
319,Yann Aurel Bisseck,Internazionale,0.4,0.0,898,16,GER
342,Ilario Monterisi,Frosinone,0.3,2.0,1467,24,ITA
343,Federico Baschirotto,Lecce,0.3,1.0,3295,37,ITA
343,Koni De Winter,Genoa,0.3,1.0,2378,29,BEL
343,Leonardo Pavoletti,Cagliari,0.3,1.0,620,19,ITA
343,Mateusz Wieteska,Cagliari,0.3,1.0,958,19,POL
343,Memeh Caleb Okoli,Frosinone,0.3,1.0,2915,34,ITA
343,Uros Racic,Sassuolo,0.3,1.0,813,22,SRB
349,Alberto Cerri,Empoli,0.3,0.0,553,12,ITA
349,Alejandro Gomez,Monza,0.3,0.0,39,2,ARG
349,Ardian Ismajli,Empoli,0.3,0.0,2046,26,ALB
349,Berkan Kutlu,Genoa,0.3,0.0,192,6,TUR
349,Daniel Silva,Verona,0.3,0.0,440,14,POR
349,David Okereke,Torino,0.3,0.0,249,9,NGA
349,Eljif Elmas,Napoli,0.3,0.0,331,11,MKD
349,Federico Fazio,Salernitana,0.3,0.0,1354,17,ARG
349,Hamed Traorè,Napoli,0.3,0.0,383,9,CIV
349,Jordan Zemura,Udinese,0.3,0.0,1033,27,ZIM
349,Kaio Jorge,Frosinone,0.3,0.0,805,20,BRA
349,Leo Østigard,Napoli,0.3,0.0,1621,25,NOR
349,Lorenzo Venuti,Lecce,0.3,0.0,357,14,ITA
349,Luca Pellegrini,Lazio,0.3,0.0,781,19,ITA
349,Matteo Lovato,Torino,0.3,0.0,1490,26,ITA
349,Nemanja Radonjic,Torino,0.3,0.0,373,10,SRB
349,Patric,Lazio,0.3,0.0,1610,20,ESP
349,Rade Krunic,Milan,0.3,0.0,686,10,BIH
349,Ruben Vinagre,Verona,0.3,0.0,277,12,POR
368,Oussama El Azzouzi,Bologna,0.2,2.0,536,18,MAR
369,Diego Llorente,Roma,0.2,1.0,2173,29,ESP
369,Lorenzo Montipo,Verona,0.2,1.0,3330,37,ITA
369,Luca Caldirola,Monza,0.2,1.0,2139,29,ITA
369,Malick Thiaw,Milan,0.2,1.0,1620,21,GER
369,Matteo Gabbia,Milan,0.2,1.0,1276,18,ITA
369,M'Baye Niang,Empoli,0.2,1.0,706,14,SEN
369,Michel Ndary Adopo,Atalanta,0.2,1.0,101,10,FRA
369,Simone Romagnoli,Frosinone,0.2,1.0,2716,33,ITA
369,Stiven Shpendi,Empoli,0.2,1.0,407,12,ALB
369,Thomas Kristensen,Udinese,0.2,1.0,2097,26,DEN
369,Warren Bondo,Monza,0.2,1.0,1471,25,FRA
380,Alessandro Di Pardo,Cagliari,0.2,0.0,352,15,ITA
380,Davy Klaassen,Internazionale,0.2,0.0,196,13,NED
380,Emil Bohinen,Genoa,0.2,0.0,589,17,NOR
380,Emil Konradsen Ceide,Sassuolo,0.2,0.0,165,11,NOR
380,Fikayo Tomori,Milan,0.2,0.0,2125,26,ENG
380,Giulio Donati,Monza,0.2,0.0,32,4,ITA
380,Giuseppe Caso,Frosinone,0.2,0.0,409,14,ITA
380,Ibrahim Sulemana,Cagliari,0.2,0.0,1342,21,GHA
380,Iron Gomis,Salernitana,0.2,0.0,130,5,FRA
380,Jean-Daniel Akpa-Akpro,Monza,0.2,0.0,700,19,CIV
380,Keinan Davis,Udinese,0.2,0.0,180,8,ENG
380,Marvin Cuni,Frosinone,0.2,0.0,522,22,ALB
380,Medon Berisha,Lecce,0.2,0.0,204,6,ALB
380,Mirko Maric,Monza,0.2,0.0,279,10,CRO
380,Natan,Napoli,0.2,0.0,955,14,BRA
380,Nicolo Casale,Lazio,0.2,0.0,1557,20,ITA
380,Pantelis Hatzidiakos,Cagliari,0.2,0.0,863,13,GRE
380,Pierre Kalulu,Milan,0.2,0.0,370,9,FRA
380,Rafael Toloi,Atalanta,0.2,0.0,962,18,ITA
380,Riccardo Saponara,Verona,0.2,0.0,336,12,ITA
380,Samuel Vignato,Monza,0.2,0.0,339,10,ITA
380,Sebastian Walukiewicz,Empoli,0.2,0.0,2054,27,POL
380,Stefan Mitrovic,Verona,0.2,0.0,388,10,SRB
380,Szymon Zurkowski,Empoli,0.2,0.0,871,13,POL
380,Tommaso Corazza,Bologna,0.2,0.0,188,9,ITA
380,Triantafyllos Pasalidis,Salernitana,0.2,0.0,451,8,GRE
380,Vitor Oliveira,Genoa,0.2,0.0,281,9,POR
380,Yann Karamoh,Torino,0.2,0.0,153,10,FRA
380,Yerry Mina,Cagliari,0.2,0.0,1259,18,COL
409,Gaetano Castrovilli,Fiorentina,0.1,2.0,370,6,ITA
410,Emanuel Vignato,Salernitana,0.1,1.0,308,9,ITA
410,Isak Hien,Atalanta,0.1,1.0,1794,26,SWE
410,Jordi Mboula,Verona,0.1,1.0,304,11,ESP
410,Mike Maignan,Milan,0.1,1.0,2609,29,FRA
