Rank,Player,Team,Goals per 90,Total Goals,Minutes,Matches,Country
148,Pontus Almqvist,Lecce,0.09,2.0,2115,30,SWE
151,Chukwubuikem Ikwuemesi,Salernitana,0.09,1.0,1058,25,NGA
151,Emil Holm,Atalanta,0.09,1.0,948,22,SWE
151,Jordan Zemura,Udinese,0.09,1.0,1033,27,ZIM
151,Samuel Chukwueze,Milan,0.09,1.0,1012,24,NGA
155,Bryan Cristante,Roma,0.08,3.0,3292,37,ITA
155,Gleison Bremer,Juventus,0.08,3.0,3234,36,BRA
157,Andrea Cambiaso,Juventus,0.08,2.0,2387,34,ITA
157,Cristiano Biraghi,Fiorentina,0.08,2.0,2358,29,ITA
157,Matteo Guendouzi,Lazio,0.08,2.0,2370,33,FRA
157,Mattia Bani,Genoa,0.08,2.0,2309,27,ITA
157,Nahitan Nández,Cagliari,0.08,2.0,2351,33,URU
157,Riccardo Calafiori,Bologna,0.08,2.0,2338,30,ITA
163,Fabio Miretti,Juventus,0.08,1.0,1104,25,ITA
163,Gabriel Strefezza,Lecce,0.08,1.0,1118,19,BRA
165,Matheus Henrique,Sassuolo,0.07,2.0,2501,31,BRA
165,Matteo Darmian,Internazionale,0.07,2.0,2413,33,ITA
167,Danilo Cataldi,Lazio,0.07,1.0,1360,28,ITA
167,Hamza Rafia,Lecce,0.07,1.0,1211,28,TUN
167,Jacopo Fazzini,Empoli,0.07,1.0,1226,31,ITA
167,Joan Gonzalez,Lecce,0.07,1.0,1283,29,ESP
167,Leonardo Spinazzola,Roma,0.07,1.0,1312,24,ITA
172,Alberto Dossena,Cagliari,0.06,2.0,2979,35,ITA
172,Henrikh Mkhitaryan,Internazionale,0.06,2.0,2803,36,ARM
172,Morten Frendrup,Genoa,0.06,2.0,3146,37,DEN
172,Nicolo Barella,Internazionale,0.06,2.0,2860,37,ITA
172,Valentin Gendrey,Lecce,0.06,2.0,3050,37,FRA
172,Walace,Udinese,0.06,2.0,3243,37,BRA
178,Alessandro Deiola,Cagliari,0.06,1.0,1608,27,ITA
178,Andrea Carboni,Monza,0.06,1.0,1490,21,ITA
178,Leo Østigard,Napoli,0.06,1.0,1621,25,NOR
178,Mathias Olivera,Napoli,0.06,1.0,1572,23,URU
178,Stefan de Vrij,Internazionale,0.06,1.0,1578,25,NED
178,Warren Bondo,Monza,0.06,1.0,1471,25,FRA
178,Yacine Adli,Milan,0.06,1.0,1412,24,FRA
185,Alessandro Florenzi,Milan,0.05,1.0,1730,31,ITA
185,Dan Ndoye,Bologna,0.05,1.0,1775,32,SUI
185,Emmanuel Quartsin Gyasi,Empoli,0.05,1.0,1873,33,GHA
185,Lorenzo Pirola,Salernitana,0.05,1.0,1991,27,ITA
185,Matteo Prati,Cagliari,0.05,1.0,1972,26,ITA
185,Rasmus Kristensen,Roma,0.05,1.0,1743,29,DEN
185,Sandi Lovric,Udinese,0.05,1.0,1988,29,SVN
192,Alessandro Bastoni,Internazionale,0.04,1.0,2283,28,ITA
192,Daniel Boloca,Sassuolo,0.04,1.0,2023,30,ROU
192,Danilo,Juventus,0.04,1.0,2451,29,BRA
192,Davide Calabria,Milan,0.04,1.0,2191,29,ITA
192,Diego Llorente,Roma,0.04,1.0,2173,29,ESP
192,Gabriele Zappa,Cagliari,0.04,1.0,2559,38,ITA
192,Gian Marco Ferrari,Sassuolo,0.04,1.0,2268,31,ITA
192,Giorgio Scalvini,Atalanta,0.04,1.0,2553,33,ITA
192,Hassane Kamara,Udinese,0.04,1.0,2238,35,CIV
192,Juan Jesus,Napoli,0.04,1.0,2117,24,BRA
192,Luca Caldirola,Monza,0.04,1.0,2139,29,ITA
192,Michael Kayode,Fiorentina,0.04,1.0,2063,26,ITA
192,Milan Badelj,Genoa,0.04,1.0,2555,33,CRO
192,Nicolo Cambiaghi,Empoli,0.04,1.0,2562,37,ITA
192,Ondrej Duda,Verona,0.04,1.0,2463,32,SVK
192,Roberto Gagliardini,Monza,0.04,1.0,2366,33,ITA
192,Sam Beukema,Bologna,0.04,1.0,2549,30,NED
192,Samuele Ricci,Torino,0.04,1.0,2400,32,ITA
192,Sead Kolasinac,Atalanta,0.04,1.0,2182,30,BIH
192,Stefan Posch,Bologna,0.04,1.0,2418,31,AUT
192,Tommaso Augello,Cagliari,0.04,1.0,2429,32,ITA
213,Adam Marusic,Lazio,0.03,1.0,3106,37,MNE
213,Antoine Makoumbou,Cagliari,0.03,1.0,2707,32,CGO
213,Giovanni Di Lorenzo,Napoli,0.03,1.0,3235,36,ITA
213,Johan Vásquez,Genoa,0.03,1.0,2851,37,MEX
213,Manuel Locatelli,Juventus,0.03,1.0,3011,36,ITA
213,Martin Erlic,Sassuolo,0.03,1.0,2624,32,CRO
213,Raoul Bellanova,Torino,0.03,1.0,3063,37,ITA
213,Remo Freuler,Bologna,0.03,1.0,2632,32,SUI
213,Ricardo Rodriguez,Torino,0.03,1.0,2783,35,SUI
213,Sebastiano Luperto,Empoli,0.03,1.0,3407,38,ITA
213,Simone Romagnoli,Frosinone,0.03,1.0,2716,33,ITA
213,Ylber Ramadani,Lecce,0.03,1.0,2976,34,ALB
