Rank,Player,Team,Accurate Passes per 90,Pass Success (%),Minutes,Matches,Country
233,Joan Gonzalez,Lecce,23.9,76.6,1283,29,ESP
234,Suat Serdar,Verona,23.9,75.0,1661,25,GER
235,Jacopo Fazzini,Empoli,23.9,74.3,1226,31,ITA
236,Nicola Sansone,Lecce,23.8,80.2,750,25,ITA
237,Andrea Colpani,Monza,23.7,82.7,2683,38,ITA
238,Gianluca Gaetano,Cagliari,23.4,79.7,905,20,ITA
239,Nicolas Viola,Cagliari,23.4,74.3,1202,26,ITA
240,Marco Brescianini,Frosinone,23.3,79.9,2321,36,ITA
241,Marko Arnautovic,Internazionale,23.3,77.1,779,27,AUT
242,Marcus Holmgren Pedersen,Sassuolo,23.2,80.1,1605,28,NOR
243,Riccardo Orsolini,Bologna,23.2,74.0,1792,33,ITA
244,Dan Ndoye,Bologna,23.1,83.5,1775,32,SUI
245,Mateusz Legowski,Salernitana,23.0,78.3,1132,29,POL
246,Sandi Lovric,Udinese,22.8,81.2,1988,29,SVN
247,Joshua Zirkzee,Bologna,22.8,78.0,2771,34,NED
248,Jackson Tchatchoua,Verona,22.7,77.3,1725,26,CMR
249,Valentin Gendrey,Lecce,22.7,76.8,3050,37,FRA
250,Vanja Milinkovic-Savic,Torino,22.6,60.1,3240,36,SRB
251,Mohamed Kaba,Lecce,22.5,81.0,1382,23,FRA
252,Davide Frattesi,Internazionale,22.5,80.9,934,32,ITA
253,Gabriel Strefezza,Lecce,22.5,78.2,1118,19,BRA
254,Aaron Caricol,Genoa,22.3,78.3,1380,22,ESP
255,Roberto Pereyra,Udinese,22.0,81.7,1862,27,ARG
256,Gregoire Defrel,Sassuolo,21.9,85.5,751,20,MTQ
257,Nadir Zortea,Frosinone,21.7,75.5,1403,19,ITA
258,Emil Holm,Atalanta,21.6,69.0,948,22,SWE
259,Arkadiusz Milik,Juventus,21.4,81.1,902,32,POL
260,Federico Bonazzoli,Verona,21.4,79.5,1014,24,ITA
261,Rémi Oudin,Lecce,21.3,69.0,1826,31,FRA
262,Alex Meret,Napoli,21.1,82.3,2774,31,ITA
263,Nedim Bajrami,Sassuolo,20.9,82.2,1312,28,ALB
264,Loum Tchaouna,Salernitana,20.9,71.6,2099,33,FRA
265,Lukasz Skorupski,Bologna,20.8,75.5,2880,32,POL
266,Antonio Sanabria,Torino,20.7,79.7,2133,35,PAR
267,Stefano Turati,Frosinone,20.7,68.9,2745,31,ITA
268,Lautaro Martinez,Internazionale,20.3,79.1,2668,33,ARG
269,Jonathan Ikoné,Fiorentina,20.2,82.9,1685,28,FRA
270,Martin Payero,Udinese,20.1,77.9,1801,29,ARG
271,Alessandro Deiola,Cagliari,20.0,71.4,1608,27,ITA
272,Andrea Consigli,Sassuolo,19.9,63.9,3150,35,ITA
273,Hassane Kamara,Udinese,19.7,77.8,2238,35,CIV
274,Demba Seck,Frosinone,19.4,79.1,718,20,SEN
275,Giovanni Fabbian,Bologna,19.1,79.4,1053,27,ITA
276,Lucas Beltran,Fiorentina,18.9,79.6,1694,32,ARG
277,Florian Thauvin,Udinese,18.5,77.8,1713,29,FRA
278,Wojciech Szczesny,Juventus,18.5,74.7,3150,35,POL
279,Elia Caprile,Empoli,18.4,62.4,2070,23,ITA
280,Armand Laurienté,Sassuolo,18.3,78.4,2926,37,FRA
281,Josh Doig,Sassuolo,18.3,73.3,2183,28,SCO
282,Ciro Immobile,Lazio,18.2,74.6,1656,31,ITA
283,Lorenzo Montipo,Verona,18.2,58.3,3330,37,ITA
284,Emmanuel Quartsin Gyasi,Empoli,18.0,78.0,1873,33,GHA
285,Gianluca Scamacca,Atalanta,18.0,69.0,1459,29,ITA
286,Federico Chiesa,Juventus,17.9,77.3,2207,33,ITA
287,Marco Carnesecchi,Atalanta,17.8,65.5,2426,27,ITA
288,Rui Patricio,Roma,17.7,75.0,2070,23,POR
289,Jordan Zemura,Udinese,17.6,72.1,1033,27,ZIM
290,Nahitan Nández,Cagliari,17.5,65.9,2351,33,URU
291,Gustav Isaksen,Lazio,17.3,71.2,1069,28,DEN
292,Darko Lazovic,Verona,17.3,70.2,1942,32,SRB
293,Sardar Azmoun,Roma,16.7,69.3,571,23,IRN
294,Tomas Suslov,Verona,16.6,79.1,2094,32,SVK
295,Samuele Mulattieri,Sassuolo,16.5,70.4,441,27,ITA
296,Simone Scuffet,Cagliari,16.4,62.0,2789,31,ITA
297,Wladimiro Falcone,Lecce,16.3,63.0,3420,38,ITA
298,M'Bala Nzola,Fiorentina,16.2,82.7,1545,33,ANG
299,Stefano Sabelli,Genoa,16.1,63.4,2448,32,ITA
300,Cyril Ngonge,Napoli,16.0,72.4,1743,32,BEL
301,Nicolo Cambiaghi,Empoli,15.8,81.2,2562,37,ITA
302,Morten Thorsby,Genoa,15.8,62.6,1143,24,NOR
303,Lameck Banda,Lecce,15.6,82.5,1358,21,ZAM
304,Marcus Thuram,Internazionale,15.6,73.9,2707,35,FRA
305,Duvan Zapata,Torino,15.4,70.3,3005,37,COL
306,Guillermo Ochoa,Salernitana,15.2,55.5,1890,21,MEX
307,Michael Folorunsho,Verona,15.0,64.8,2793,34,ITA
308,Giovanni Simeone,Napoli,14.9,72.6,787,28,ARG
309,Romelu Lukaku,Roma,14.8,72.4,2644,32,BEL
310,Dusan Vlahovic,Juventus,14.7,71.6,2317,33,SRB
311,Pontus Almqvist,Lecce,14.6,75.8,2115,30,SWE
312,Valentin Castellanos,Lazio,14.6,62.3,1676,35,ARG
313,Eldor Shomurodov,Cagliari,14.4,67.7,933,22,UZB
314,Marvin Cuni,Frosinone,14.1,75.2,522,22,ALB
315,Luka Jovic,Milan,13.7,74.6,867,23,SRB
316,Kingsley Ehizibue,Udinese,13.7,70.4,955,23,NED
317,Andrea Belotti,Fiorentina,13.5,70.7,1624,29,ITA
318,Isaac Success,Udinese,13.4,64.7,872,27,NGA
319,Nikola Krstovic,Lecce,13.0,67.4,2390,35,MNE
320,Gaetano Oristanio,Cagliari,12.7,74.5,1102,25,ITA
321,Kaio Jorge,Frosinone,12.7,73.5,805,20,BRA
