Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
174,Giovanni Fabbian,Bologna,16.0,1.4,1053,27,ITA
174,Matias Vina,Sassuolo,16.0,1.4,1019,15,URU
174,Reinier,Frosinone,16.0,1.4,1064,22,BRA
178,Caleb Ekuban,Genoa,16.0,1.3,1123,29,GHA
179,Toma Basic,Salernitana,16.0,1.2,1166,15,CRO
180,Fabiano Parisi,Fiorentina,16.0,1.0,1452,21,ITA
181,Edoardo Bove,Roma,16.0,0.8,1777,31,ITA
182,Walid Cheddira,Frosinone,16.0,0.7,2130,36,MAR
183,Ylber Ramadani,Lecce,16.0,0.5,2976,34,ALB
184,Luis Muriel,Atalanta,15.0,3.4,395,18,COL
185,Samuel Castillejo,Sassuolo,15.0,2.6,528,17,ESP
186,Arkadiusz Milik,Juventus,15.0,1.5,902,32,POL
187,Jens-Lys Cajuste,Napoli,15.0,1.3,1007,26,SWE
187,Junior Messias,Genoa,15.0,1.3,1056,18,BRA
189,Gaetano Oristanio,Cagliari,15.0,1.2,1102,25,ITA
190,Hamza Rafia,Lecce,15.0,1.1,1211,28,TUN
190,Joan Gonzalez,Lecce,15.0,1.1,1283,29,ESP
192,Festy Ebosele,Udinese,15.0,0.8,1705,31,IRL
192,Jackson Tchatchoua,Verona,15.0,0.8,1725,26,CMR
192,Jonathan Ikoné,Fiorentina,15.0,0.8,1685,28,FRA
195,Karol Linetty,Torino,15.0,0.7,1860,28,POL
195,Michael Kayode,Fiorentina,15.0,0.7,2063,26,ITA
197,Antonio Sanabria,Torino,15.0,0.6,2133,35,PAR
197,Lucas Martinez Quarta,Fiorentina,15.0,0.6,2292,29,ARG
199,Antonin Barak,Fiorentina,14.0,1.6,802,21,CZE
200,Pedro Pereira,Monza,14.0,1.5,833,23,POR
201,Yunus Musah,Milan,14.0,0.9,1468,30,USA
202,Martin Payero,Udinese,14.0,0.7,1801,29,ARG
203,Daniel Boloca,Sassuolo,14.0,0.6,2023,30,ROU
203,Matteo Prati,Cagliari,14.0,0.6,1972,26,ITA
205,Amir Rrahmani,Napoli,14.0,0.5,2602,30,KVX
205,Antoine Makoumbou,Cagliari,14.0,0.5,2707,32,CGO
207,Jesper Lindstrøm,Napoli,13.0,2.8,417,22,DEN
208,Riccardo Sottil,Fiorentina,13.0,1.1,1108,22,ITA
209,Alessandro Vogliacco,Genoa,13.0,1.0,1171,20,ITA
210,Timothy Weah,Juventus,13.0,0.9,1247,30,USA
211,Mohamed Kaba,Lecce,13.0,0.8,1382,23,FRA
211,Pol Lirola,Frosinone,13.0,0.8,1538,25,ESP
213,Andrea Belotti,Fiorentina,13.0,0.7,1624,29,ITA
213,Rolando Mandragora,Fiorentina,13.0,0.7,1584,33,ITA
