Rank,Player,Team,Clearances per 90,Total Clearances,Minutes,Matches,Country
142,Ivan Ilic,Torino,1.3,30.0,2099,31,SRB
143,Mateusz Legowski,Salernitana,1.3,16.0,1132,29,POL
144,Danilo Cataldi,Lazio,1.3,19.0,1360,28,ITA
145,Karol Linetty,Torino,1.3,27.0,1860,28,POL
146,Jens-Lys Cajuste,Napoli,1.3,14.0,1007,26,SWE
147,Suat Serdar,Verona,1.3,24.0,1661,25,GER
148,Morten Thorsby,Genoa,1.3,17.0,1143,24,NOR
149,Elia Caprile,Empoli,1.3,30.0,2070,23,ITA
150,Patrick Ciurria,Monza,1.3,24.0,1602,22,ITA
151,Fabiano Parisi,Fiorentina,1.3,21.0,1452,21,ITA
152,Lorenzo Lucca,Udinese,1.2,35.0,2600,37,ITA
153,Matteo Pessina,Monza,1.2,42.0,3228,37,ITA
154,Joshua Zirkzee,Bologna,1.2,36.0,2771,34,NED
155,Matteo Ruggeri,Atalanta,1.2,32.0,2466,34,ITA
156,Ylber Ramadani,Lecce,1.2,41.0,2976,34,ALB
157,Emmanuel Quartsin Gyasi,Empoli,1.2,24.0,1873,33,GHA
158,Stefano Sabelli,Genoa,1.2,33.0,2448,32,ITA
159,Jacopo Fazzini,Empoli,1.2,16.0,1226,31,ITA
160,Mateo Retegui,Genoa,1.2,30.0,2225,29,ITA
161,Mathias Olivera,Napoli,1.2,21.0,1572,23,URU
162,Nicola Zalewski,Roma,1.2,13.0,966,22,POL
162,Alessandro Zanoli,Salernitana,1.2,13.0,969,21,ITA
164,Filippo Terracciano,Milan,1.2,18.0,1368,21,ITA
165,Andrea Pinamonti,Sassuolo,1.1,39.0,3100,38,ITA
166,Wladimiro Falcone,Lecce,1.1,40.0,3420,38,ITA
167,Giovanni Di Lorenzo,Napoli,1.1,38.0,3235,36,ITA
168,Henrikh Mkhitaryan,Internazionale,1.1,35.0,2803,36,ARM
169,Teun Koopmeiners,Atalanta,1.1,32.0,2633,34,NED
170,Theo Hernández,Milan,1.1,34.0,2794,32,FRA
171,Festy Ebosele,Udinese,1.1,20.0,1705,31,IRL
172,Lorenzo Pellegrini,Roma,1.1,22.0,1866,29,ITA
173,Lassana Coulibaly,Salernitana,1.1,25.0,2086,28,MLI
174,Isaac Success,Udinese,1.1,11.0,872,27,NGA
175,Matteo Prati,Cagliari,1.1,25.0,1972,26,ITA
176,Nikola Moro,Bologna,1.1,10.0,835,23,CRO
177,Mario Rui,Napoli,1.1,15.0,1205,21,POR
178,Andrea Consigli,Sassuolo,1.0,34.0,3150,35,ITA
179,Valentin Castellanos,Lazio,1.0,18.0,1676,35,ARG
180,Valentino Lazaro,Torino,1.0,21.0,1989,35,AUT
181,Nahitan Nández,Cagliari,1.0,27.0,2351,33,URU
182,Adrien Rabiot,Juventus,1.0,29.0,2651,31,FRA
183,Alessandro Florenzi,Milan,1.0,19.0,1730,31,ITA
184,Matheus Henrique,Sassuolo,1.0,27.0,2501,31,BRA
185,Rémi Oudin,Lecce,1.0,20.0,1826,31,FRA
186,Federico Dimarco,Internazionale,1.0,24.0,2105,30,ITA
186,Adrien Tamèze,Torino,1.0,24.0,2154,29,FRA
188,Sandi Lovric,Udinese,1.0,21.0,1988,29,SVN
189,Giorgos Kyriakopoulos,Monza,1.0,19.0,1716,28,GRE
190,Noah Okafor,Milan,1.0,10.0,869,28,SUI
191,Yacine Adli,Milan,1.0,15.0,1412,24,FRA
192,Kacper Urbanski,Bologna,1.0,10.0,921,22,POL
193,Ibrahim Sulemana,Cagliari,1.0,15.0,1342,21,GHA
194,Maduka Okoye,Udinese,1.0,20.0,1890,21,NGA
195,Leonardo Pavoletti,Cagliari,1.0,7.0,620,19,ITA
196,Lorenzo Montipo,Verona,0.9,35.0,3330,37,ITA
197,Morten Frendrup,Genoa,0.9,33.0,3146,37,DEN
198,Raoul Bellanova,Torino,0.9,30.0,3063,37,ITA
199,Roberto Piccoli,Lecce,0.9,14.0,1397,37,ITA
200,Éderson,Atalanta,0.9,28.0,2873,36,BRA
201,Riccardo Orsolini,Bologna,0.9,17.0,1792,33,ITA
202,Rolando Mandragora,Fiorentina,0.9,16.0,1584,33,ITA
203,Samuele Ricci,Torino,0.9,23.0,2400,32,ITA
204,Timothy Weah,Juventus,0.9,12.0,1247,30,USA
205,Yunus Musah,Milan,0.9,14.0,1468,30,USA
206,Martin Payero,Udinese,0.9,19.0,1801,29,ARG
207,Ruslan Malinovsky,Genoa,0.9,16.0,1547,28,UKR
208,Giovanni Fabbian,Bologna,0.9,10.0,1053,27,ITA
209,Lorenzo Colombo,Monza,0.9,14.0,1366,25,ITA
210,Luka Jovic,Milan,0.9,9.0,867,23,SRB
211,Sardar Azmoun,Roma,0.9,6.0,571,23,IRN
212,Stanislav Lobotka,Napoli,0.8,28.0,3293,38,SVK
213,Duvan Zapata,Torino,0.8,27.0,3005,37,COL
214,Matteo Cancellieri,Empoli,0.8,15.0,1784,36,ITA
215,Michel Aebischer,Bologna,0.8,21.0,2234,36,SUI
216,Nikola Krstovic,Lecce,0.8,22.0,2390,35,MNE
216,Olivier Giroud,Milan,0.8,22.0,2372,35,FRA
216,Andrea Cambiaso,Juventus,0.8,22.0,2387,34,ITA
216,Lazar Samardzic,Udinese,0.8,22.0,2380,34,SRB
216,Matteo Guendouzi,Lazio,0.8,22.0,2370,33,FRA
221,Michele Di Gregorio,Monza,0.8,25.0,2874,33,ITA
222,Antoine Makoumbou,Cagliari,0.8,24.0,2707,32,CGO
223,Lewis Ferguson,Bologna,0.8,25.0,2718,31,SCO
224,Roberto Pereyra,Udinese,0.8,17.0,1862,27,ARG
224,Victor Osimhen,Napoli,0.8,17.0,1990,25,NGA
226,Leonardo Spinazzola,Roma,0.8,12.0,1312,24,ITA
227,Kristjan Asllani,Internazionale,0.8,7.0,771,23,ALB
228,Mohamed Kaba,Lecce,0.8,13.0,1382,23,FRA
228,Aaron Caricol,Genoa,0.8,13.0,1380,22,ESP
230,Gianluca Gaetano,Cagliari,0.8,8.0,905,20,ITA
231,Felipe Anderson,Lazio,0.7,21.0,2782,38,BRA
232,Tijjani Reijnders,Milan,0.7,22.0,2830,36,NED
233,Antonio Candreva,Salernitana,0.7,20.0,2757,34,ITA
234,Dany Mota,Monza,0.7,16.0,2059,34,POR
235,Youssef Maleh,Empoli,0.7,19.0,2610,34,MAR
236,Stephan El Shaarawy,Roma,0.7,14.0,1741,33,ITA
237,Hakan Calhanoglu,Internazionale,0.7,21.0,2576,32,TUR
238,Ondrej Duda,Verona,0.7,19.0,2463,32,SVK
239,Alex Meret,Napoli,0.7,23.0,2774,31,ITA
240,Davide Zappacosta,Atalanta,0.7,15.0,1875,31,ITA
241,Simone Scuffet,Cagliari,0.7,21.0,2789,31,ITA
242,Hamza Rafia,Lecce,0.7,9.0,1211,28,TUN
243,Piotr Zielinski,Napoli,0.7,15.0,1938,28,POL
244,Chukwubuikem Ikwuemesi,Salernitana,0.7,8.0,1058,25,NGA
245,Warren Bondo,Monza,0.7,12.0,1471,25,FRA
246,Christian Kouamé,Fiorentina,0.7,9.0,1084,23,CIV
247,Gregoire Defrel,Sassuolo,0.7,6.0,751,20,MTQ
248,Moise Kean,Juventus,0.7,5.0,650,19,ITA
249,Vanja Milinkovic-Savic,Torino,0.6,23.0,3240,36,SRB
