Rank,Player,Team,Big Chances Missed,Shot Conversion Rate (%),Minutes,Matches,Country
156,Kacper Urbanski,Bologna,2.0,0.0,921,22,POL
156,Luca Garritano,Frosinone,2.0,0.0,484,12,ITA
156,Marco Mancosu,Cagliari,2.0,0.0,156,6,ITA
156,Marin Pongracic,Lecce,2.0,0.0,3220,36,CRO
156,Mohamed Kaba,Lecce,2.0,0.0,1382,23,FRA
156,Nehuén Pérez,Udinese,2.0,0.0,3238,36,ARG
156,Nicola Zalewski,Roma,2.0,0.0,966,22,POL
156,Stefano Sabelli,Genoa,2.0,0.0,2448,32,ITA
156,Timothy Weah,Juventus,2.0,0.0,1247,30,USA
156,Youssef Maleh,Empoli,2.0,0.0,2610,34,MAR
170,Ilario Monterisi,Frosinone,1.0,40.0,1467,24,ITA
171,Dean Huijsen,Roma,1.0,33.3,515,14,ESP
171,Lautaro Gianetti,Udinese,1.0,33.3,630,7,ARG
173,Mattia Viti,Sassuolo,1.0,25.0,985,15,ITA
174,Fikayo Tomori,Milan,1.0,23.5,2125,26,ENG
175,Alessandro Buongiorno,Torino,1.0,23.1,2530,29,ITA
176,Mattia Bani,Genoa,1.0,22.2,2309,27,ITA
176,Pol Lirola,Frosinone,1.0,22.2,1538,25,ESP
178,Gianluca Gaetano,Napoli,1.0,21.7,905,20,ITA
179,Gianluca Mancini,Roma,1.0,21.1,2872,36,ITA
180,Francesco Acerbi,Internazionale,1.0,20.0,2386,29,ITA
180,Jordan Zemura,Udinese,1.0,20.0,1033,27,ZIM
180,Luca Ranieri,Fiorentina,1.0,20.0,2067,26,ITA
183,Lucas Beltran,Fiorentina,1.0,19.4,1694,32,ARG
184,Matteo Gabbia,Milan,1.0,18.2,1276,18,ITA
185,Giulio Maggiore,Salernitana,1.0,17.4,1807,27,ITA
186,Lorenzo Pellegrini,Roma,1.0,17.0,1866,29,ITA
187,El Bilal Touré,Atalanta,1.0,16.7,386,11,MLI
187,Keinan Davis,Udinese,1.0,16.7,180,8,ENG
189,Leonardo Pavoletti,Cagliari,1.0,16.0,620,19,ITA
190,Christian Kabasele,Udinese,1.0,14.3,861,13,BEL
190,Mirko Maric,Monza,1.0,14.3,279,10,CRO
190,Perr Schuurs,Torino,1.0,14.3,771,9,NED
190,Santiago Castro,Bologna,1.0,14.3,238,8,ARG
194,Charalambos Lykogiannis,Bologna,1.0,13.3,899,22,GRE
195,Gustav Isaksen,Lazio,1.0,13.0,1069,28,DEN
196,Martin Erlic,Sassuolo,1.0,12.5,2624,32,CRO
197,Cristiano Biraghi,Fiorentina,1.0,11.8,2358,29,ITA
197,Radu Dragusin,Genoa,1.0,11.8,1710,19,ROU
197,Riccardo Calafiori,Bologna,1.0,11.8,2338,30,ITA
200,Alexis Sánchez,Internazionale,1.0,11.1,751,23,CHI
200,Federico Bonazzoli,Verona,1.0,11.1,1014,24,ITA
200,Rasmus Kristensen,Roma,1.0,11.1,1743,29,DEN
200,Valentin Gendrey,Lecce,1.0,11.1,3050,37,FRA
204,Lazar Samardzic,Udinese,1.0,10.5,2380,34,SRB
205,Alberto Cerri,Empoli,1.0,10.0,553,12,ITA
