Rank,Player,Team,Goals,Penalties,Minutes,Matches,Country
180,Sam Beukema,Bologna,1.0,0.0,2549,30,NED
180,Samuel Chukwueze,Milan,1.0,0.0,1012,24,NGA
180,Samuel Iling-Junior,Juventus,1.0,0.0,800,24,ENG
180,Samuel Vignato,Monza,1.0,0.0,339,10,ITA
180,Samuele Ricci,Torino,1.0,0.0,2400,32,ITA
180,Sandi Lovric,Udinese,1.0,0.0,1988,29,SVN
180,Santiago Castro,Bologna,1.0,0.0,238,8,ARG
180,Sead Kolasinac,Atalanta,1.0,0.0,2182,30,BIH
180,Sebastiano Luperto,Empoli,1.0,0.0,3407,38,ITA
180,Shon Weissman,Salernitana,1.0,0.0,493,11,ISR
180,Simone Bastoni,Empoli,1.0,0.0,748,16,ITA
180,Simone Romagnoli,Frosinone,1.0,0.0,2716,33,ITA
180,Stefan de Vrij,Internazionale,1.0,0.0,1578,25,NED
180,Stefan Posch,Bologna,1.0,0.0,2418,31,AUT
180,Tajon Buchanan,Internazionale,1.0,0.0,151,10,CAN
180,Tammy Abraham,Roma,1.0,0.0,240,8,ENG
180,Tommaso Augello,Cagliari,1.0,0.0,2429,32,ITA
180,Uros Racic,Sassuolo,1.0,0.0,813,22,SRB
180,Viktor Kovalenko,Empoli,1.0,0.0,606,17,UKR
180,Warren Bondo,Monza,1.0,0.0,1471,25,FRA
180,Yacine Adli,Milan,1.0,0.0,1412,24,FRA
180,Ylber Ramadani,Lecce,1.0,0.0,2976,34,ALB
180,Zanos Savva,Torino,1.0,0.0,26,2,CYP
284,Gabriel Strefezza,Lecce,1.0,1.0,1118,19,BRA
