Rank,Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Country
129,Matteo Darmian,Internazionale,1.9,45.9,2413,33,ITA
130,Fikayo Tomori,Milan,1.9,44.2,2125,26,ENG
131,Tommaso Augello,Cagliari,1.9,40.6,2429,32,ITA
132,Evan N'Dicka,Roma,1.9,39.5,2170,25,CIV
133,Alexis Saelemaekers,Bologna,1.8,77.1,1892,30,BEL
134,Karol Linetty,Torino,1.8,67.9,1860,28,POL
135,Carlos Augusto,Internazionale,1.8,63.6,1703,37,BRA
136,Tomas Suslov,Verona,1.8,58.6,2094,32,SVK
137,Alexis Blin,Lecce,1.8,54.2,1632,31,FRA
138,Adrien Tamèze,Torino,1.8,53.0,2154,29,FRA
139,Piotr Zielinski,Napoli,1.8,52.1,1938,28,POL
140,Teun Koopmeiners,Atalanta,1.8,51.5,2633,34,NED
141,Alessio Romagnoli,Lazio,1.8,42.1,2409,29,ITA
142,Norbert Gyömbér,Salernitana,1.8,41.2,1762,22,SVK
143,Federico Bonazzoli,Verona,1.7,90.5,1014,24,ITA
144,Tijjani Reijnders,Milan,1.7,72.2,2830,36,NED
145,Cristian Volpato,Sassuolo,1.7,52.2,632,22,ITA
146,Theo Hernández,Milan,1.7,48.6,2794,32,FRA
147,Adam Marusic,Lazio,1.7,48.3,3106,37,MNE
148,Charalambos Lykogiannis,Bologna,1.7,42.5,899,22,GRE
149,Davide Calabria,Milan,1.7,41.2,2191,29,ITA
150,Youssef Maleh,Empoli,1.7,39.3,2610,34,MAR
151,Lorenzo Pirola,Salernitana,1.7,36.9,1991,27,ITA
152,Luca Pellegrini,Lazio,1.7,35.7,781,19,ITA
153,Antonin Barak,Fiorentina,1.6,87.5,802,21,CZE
154,Dany Mota,Monza,1.6,71.2,2059,34,POR
155,Raoul Bellanova,Torino,1.6,66.3,3063,37,ITA
156,Daichi Kamada,Lazio,1.6,65.9,1543,29,JPN
157,Joan Gonzalez,Lecce,1.6,56.1,1283,29,ESP
158,Kristian Thorstvedt,Sassuolo,1.6,53.0,2413,34,NOR
159,Patrick Dorgu,Lecce,1.6,51.9,1563,32,DEN
160,Kevin Strootman,Genoa,1.6,44.9,1209,27,NED
161,Victor Kristiansen,Bologna,1.6,37.4,2312,32,DEN
162,Giorgio Scalvini,Atalanta,1.6,31.5,2553,33,ITA
163,Valentin Carboni,Monza,1.5,90.5,1158,31,ARG
164,Andrea Cambiaso,Juventus,1.5,84.8,2387,34,ITA
165,Florian Thauvin,Udinese,1.5,63.6,1713,29,FRA
166,Matteo Guendouzi,Lazio,1.5,60.0,2370,33,FRA
167,Stefan de Vrij,Internazionale,1.5,55.1,1578,25,NED
168,Mathias Olivera,Napoli,1.5,54.2,1572,23,URU
169,Giorgos Kyriakopoulos,Monza,1.5,45.9,1716,28,GRE
170,Marcus Holmgren Pedersen,Sassuolo,1.5,42.2,1605,28,NOR
171,Simone Romagnoli,Frosinone,1.5,34.6,2716,33,ITA
172,Nahitan Nández,Cagliari,1.5,33.9,2351,33,URU
173,Gabriel Strefezza,Lecce,1.4,50.0,1118,19,BRA
173,Samuele Ricci,Torino,1.4,50.0,2400,32,ITA
175,Valentino Lazaro,Torino,1.4,47.1,1989,35,AUT
176,Paulo Azzi,Cagliari,1.4,45.5,936,25,BRA
177,Nicolas Viola,Cagliari,1.4,45.2,1202,26,ITA
178,Matteo Lovato,Torino,1.4,43.4,1490,26,ITA
179,Aaron Caricol,Genoa,1.4,40.7,1380,22,ESP
180,Matteo Ruggeri,Atalanta,1.4,39.2,2466,34,ITA
181,Giulio Maggiore,Salernitana,1.4,36.7,1807,27,ITA
182,Matteo Prati,Cagliari,1.4,31.9,1972,26,ITA
183,Jeremy Toljan,Sassuolo,1.4,31.1,2085,25,GER
184,Jean-Daniel Akpa-Akpro,Monza,1.3,71.4,700,19,CIV
185,Edoardo Bove,Roma,1.3,62.5,1777,31,ITA
186,Ivan Ilic,Torino,1.3,42.3,2099,31,SRB
187,Danilo Cataldi,Lazio,1.3,42.2,1360,28,ITA
188,Pedro Pereira,Monza,1.3,38.7,833,23,POR
189,Giuseppe Pezzella,Empoli,1.3,31.4,1088,19,ITA
190,Warren Bondo,Monza,1.2,61.3,1471,25,FRA
191,Albert Gudmundsson,Genoa,1.2,60.6,3022,35,ISL
192,Gaetano Oristanio,Cagliari,1.2,60.0,1102,25,ITA
193,Lassana Coulibaly,Salernitana,1.2,57.4,2086,28,MLI
194,Andre-Frank Zambo Anguissa,Napoli,1.2,56.3,2792,34,CMR
195,Riccardo Orsolini,Bologna,1.2,56.1,1792,33,ITA
196,Sandi Lovric,Udinese,1.2,52.9,1988,29,SVN
197,Pedro Rodriguez,Lazio,1.2,52.4,798,33,ESP
198,Lewis Ferguson,Bologna,1.2,51.4,2718,31,SCO
199,Koni De Winter,Genoa,1.2,47.1,2378,29,BEL
200,Nadir Zortea,Frosinone,1.2,42.2,1403,19,ITA
201,Patrick Ciurria,Monza,1.2,40.0,1602,22,ITA
202,Filip Kostic,Juventus,1.2,38.5,1831,29,SRB
203,Rasmus Kristensen,Roma,1.2,37.5,1743,29,DEN
204,Alessandro Buongiorno,Torino,1.2,37.4,2530,29,ITA
205,Aleksey Miranchuk,Atalanta,1.2,36.6,1170,27,RUS
206,Domagoj Bradaric,Salernitana,1.2,35.3,2753,34,CRO
206,Valentin Gendrey,Lecce,1.2,35.3,3050,37,FRA
